Fecha,"Casa Cuna PM2,5 (µg/m³)",Flag,Casa Cuna BEN (µg/m³),Flag,Casa Cuna DD (Grd),Flag,Casa Cuna TOL (µg/m³),Flag,Casa Cuna XIL (µg/m³),Flag
Jan-2015,,N,0.9,V,91,V,1.1,V,1.5,V
Feb-2015,,N,0.8,V,67,V,0.6,V,1,V
Mar-2015,,N,0.5,V,71,V,1.3,V,2.1,V
Apr-2015,,N,0.3,V,293,V,0.7,V,0.7,V
May-2015,13,V,0.5,V,311,V,1.6,V,1.7,V
Jun-2015,10,V,0.3,V,313,V,0.8,V,0.7,V
Jul-2015,,N,0.3,V,314,V,0.8,V,1,V
Aug-2015,8,V,0.4,V,91,V,1,V,1.1,V
Sep-2015,4,V,0.5,V,69,V,2,V,1.7,V
Oct-2015,8,V,0.5,V,314,V,2.1,V,1.3,V
Nov-2015,10,V,0.6,V,90,V,2.6,V,1.3,V
Dec-2015,17,V,0.6,V,294,V,2,V,2.3,V
Jan-2016,7,V,0.5,V,294,V,,N,,N
Feb-2016,7,V,0.4,V,90,V,1.2,V,1.3,V
Mar-2016,6,V,0.2,V,89,V,1.7,V,2.4,V
Apr-2016,,N,,N,312,V,,N,,N
May-2016,6,V,0.3,V,312,V,0.5,V,0.5,V
Jun-2016,7,V,0.4,V,314,V,0.8,V,0.9,V
Jul-2016,,N,0.3,V,314,V,0.7,V,0.8,V
Aug-2016,,N,0.4,V,315,V,1.2,V,1.4,V
Sep-2016,,N,0.2,V,88,V,0.3,V,0.3,V
Oct-2016,,N,,N,314,V,,N,,N
Nov-2016,6,V,0.1,V,294,V,0.2,V,0.1,V
Dec-2016,10,V,0.1,V,90,V,0.2,V,0.1,V
Jan-2017,12,V,0.2,V,90,V,0.2,V,0.1,V
Feb-2017,9,V,0.3,V,296,V,0.7,V,0.6,V
Mar-2017,11,V,0.6,V,293,V,1.3,V,1.8,V
Apr-2017,,N,,N,314,V,,N,,N
May-2017,6,V,0.6,V,314,V,1.5,V,1.7,V
Jun-2017,8,V,0.4,V,314,V,1.4,V,1,V
Jul-2017,11,V,0.4,V,315,V,1.7,V,1.3,V
Aug-2017,9,V,0.2,V,314,V,0.3,V,0.2,V
Sep-2017,12,V,0.5,V,88,V,3.2,V,0.7,V
Oct-2017,11,V,0.7,V,294,V,2.7,V,3.5,V
Nov-2017,6,V,0.3,V,70,V,0.8,V,1.1,V
Dec-2017,,N,0.2,V,89,V,0.2,V,0.3,V
