Fecha,Depósito Tristán-Sta Cruz de TF DD (Grd),Flag,Depósito Tristán-Sta Cruz de TF VV (m/s),Flag,Depósito Tristán-Sta Cruz de TF TMP (ºC),Flag,Depósito Tristán-Sta Cruz de TF PRB (mb),Flag,Depósito Tristán-Sta Cruz de TF TRS (µg/m³),Flag
Jan-2015,44,V,2.3,V,15.8,V,994,V,1,V
Feb-2015,43,V,2.8,V,15.1,V,991,V,2,V
Mar-2015,43,V,3.3,V,16.2,V,990,V,1,V
Apr-2015,44,V,2.9,V,16.7,V,987,V,2,V
May-2015,178,V,1.7,V,20.1,V,987,V,2,V
Jun-2015,43,V,4.2,V,20.2,V,988,V,2,V
Jul-2015,179,V,3.8,V,24,V,986,V,1,V
Aug-2015,91,V,2.3,V,23.4,V,986,V,1,V
Sep-2015,90,V,1.5,V,23.1,V,986,V,1,V
Oct-2015,179,V,1.9,V,21.9,V,985,V,1,V
Nov-2015,90,V,1.3,V,19.8,V,991,V,1,V
Dec-2015,291,V,1.1,V,18.8,V,992,V,2,V
Jan-2016,91,V,1.3,V,17.7,V,992,V,2,V
Feb-2016,90,V,2.4,V,16.2,V,993,V,1,V
Mar-2016,91,V,1.8,V,15.9,V,989,V,1,V
Apr-2016,44,V,3.9,V,,N,985,V,2,V
May-2016,44,V,3.8,V,18.2,V,986,V,2,V
Jun-2016,156,V,3.2,V,21.2,V,988,V,1,V
Jul-2016,315,V,4.9,V,23.3,V,986,V,1,V
Aug-2016,114,V,1.7,V,24.6,V,985,V,1,V
Sep-2016,45,V,2.9,V,22.6,V,988,V,2,V
Oct-2016,182,V,1.8,V,21.5,V,984,V,3,V
Nov-2016,90,V,1.6,V,18.7,V,986,V,2,V
Dec-2016,293,V,1.3,V,17.9,V,990,V,3,V
Jan-2017,174,V,3.1,V,16.7,V,990,V,3,V
Feb-2017,7,V,1.5,V,16.6,V,989,V,,N
Mar-2017,10,V,1.1,V,17.5,V,988,V,1,V
Apr-2017,173,V,3.8,V,,N,,N,,N
May-2017,7,V,3,V,20,V,985,V,1,V
Jun-2017,169,V,4.8,V,22,V,986,V,3,V
Jul-2017,170,V,4.8,V,22.9,V,985,V,2,V
Aug-2017,170,V,3.9,V,26.1,V,984,V,1,V
Sep-2017,161,V,4.4,V,22.7,V,987,V,1,V
Oct-2017,2,V,0.4,V,23.1,V,987,V,2,V
Nov-2017,12,V,0.3,V,34,V,986,V,1,V
Dec-2017,139,V,0.7,V,17.3,V,988,V,6,V
