Fecha,Depósito Tristán-Sta Cruz de TF SO2 (µg/m³),Flag,Depósito Tristán-Sta Cruz de TF NO2 (µg/m³),Flag,Depósito Tristán-Sta Cruz de TF NOX (µg/m³),Flag,Depósito Tristán-Sta Cruz de TF PM10 (µg/m³),Flag,"Depósito Tristán-Sta Cruz de TF PM2,5 (µg/m³)",Flag
Jan-2015,4,V,16,V,21,V,20,V,7,V
Feb-2015,3,V,16,V,20,V,5,V,3,V
Mar-2015,4,V,21,V,28,V,15,V,6,V
Apr-2015,4,V,17,V,21,V,8,V,4,V
May-2015,4,V,16,V,20,V,13,V,6,V
Jun-2015,4,V,9,V,13,V,8,V,4,V
Jul-2015,5,V,15,V,21,V,9,V,4,V
Aug-2015,4,V,13,V,16,V,8,V,4,V
Sep-2015,4,V,18,V,24,V,8,V,,N
Oct-2015,5,V,27,V,34,V,,N,,N
Nov-2015,5,V,31,V,40,V,,N,,N
Dec-2015,6,V,39,V,51,V,,N,,N
Jan-2016,6,V,33,V,43,V,,N,,N
Feb-2016,5,V,19,V,23,V,13,V,6,V
Mar-2016,4,V,27,V,31,V,12,V,5,V
Apr-2016,,N,,N,,N,8,V,,N
May-2016,5,V,15,V,18,V,11,V,6,V
Jun-2016,7,V,15,V,21,V,14,V,6,V
Jul-2016,7,V,17,V,22,V,15,V,7,V
Aug-2016,6,V,22,V,29,V,22,V,11,V
Sep-2016,5,V,13,V,18,V,11,V,6,V
Oct-2016,4,V,24,V,32,V,8,V,4,V
Nov-2016,6,V,25,V,32,V,6,V,3,V
Dec-2016,4,V,25,V,32,V,12,V,5,V
Jan-2017,4,V,24,V,30,V,10,V,5,V
Feb-2017,4,V,19,V,25,V,,N,,N
Mar-2017,7,V,27,V,36,V,,N,,N
Apr-2017,,N,,N,,N,,N,,N
May-2017,4,V,27,V,33,V,8,V,5,V
Jun-2017,4,V,17,V,22,V,14,V,8,V
Jul-2017,5,V,26,V,32,V,16,V,10,V
Aug-2017,3,V,25,V,32,V,19,V,11,V
Sep-2017,4,V,22,V,27,V,16,V,10,V
Oct-2017,6,V,30,V,42,V,20,V,11,V
Nov-2017,3,V,25,V,32,V,9,V,6,V
Dec-2017,5,V,32,V,35,V,5,V,3,V
