Fecha,García Escámez-Sta Cruz de TF VV (m/s),Flag,García Escámez-Sta Cruz de TF HR (%),Flag,García Escámez-Sta Cruz de TF PRB (mb),Flag,García Escámez-Sta Cruz de TF TRS (µg/m³),Flag,García Escámez-Sta Cruz de TF CO (mg/m³),Flag
Jan-2015,3.1,V,58,V,1007,V,0,V,0.3,V
Feb-2015,3.6,V,63,V,1004,V,0,V,0.3,V
Mar-2015,2.8,V,59,V,1002,V,1,V,0.3,V
Apr-2015,2.6,V,63,V,1000,V,,N,0.3,V
May-2015,2.1,V,58,V,1000,V,,N,0.3,V
Jun-2015,3.7,V,62,V,1001,V,0,V,0.3,V
Jul-2015,3.4,V,56,V,999,V,0,V,0.3,V
Aug-2015,2.7,V,63,V,999,V,0,V,0.3,V
Sep-2015,1.7,V,68,V,999,V,0,V,0.4,V
Oct-2015,2,V,70,V,998,V,0,V,0.3,V
Nov-2015,2.1,V,66,V,1004,V,0,V,0.4,V
Dec-2015,1.3,V,56,V,1005,V,0,V,0.5,V
Jan-2016,2.3,V,66,V,1005,V,0,V,0.3,V
Feb-2016,4,V,,N,1006,V,1,V,0.3,V
Mar-2016,2.6,V,62,V,1002,V,0,V,0.4,V
Apr-2016,3.9,V,64,V,999,V,0,V,0.3,V
May-2016,3.9,V,60,V,999,V,0,V,0.3,V
Jun-2016,2.8,V,60,V,1000,V,1,V,0.3,V
Jul-2016,4.3,V,53,V,999,V,0,V,0.3,V
Aug-2016,2.8,V,56,V,998,V,1,V,0.4,V
Sep-2016,3.4,V,59,V,1000,V,0,V,0.4,V
Oct-2016,2.7,V,64,V,997,V,1,V,0.3,V
Nov-2016,2.6,V,67,V,999,V,0,V,0.3,V
Dec-2016,1.4,V,62,V,1003,V,0,V,0.4,V
Jan-2017,2.5,V,59,V,1002,V,0,V,0.3,V
Feb-2017,3.6,V,81,V,1001,V,0,V,0.4,V
Mar-2017,3.8,V,88,V,1001,V,0,V,0.4,V
Apr-2017,2.6,V,,N,,N,,N,,N
May-2017,3.7,V,62,V,998,V,0,V,0.2,V
Jun-2017,4.3,V,59,V,998,V,0,V,0.2,V
Jul-2017,4.3,V,60,V,998,V,0,V,0.3,V
Aug-2017,2.4,V,57,V,997,V,1,V,0.3,V
Sep-2017,3.9,V,66,V,999,V,0,V,0.3,V
Oct-2017,1.8,V,58,V,999,V,0,V,0.3,V
Nov-2017,2.2,V,66,V,998,V,0,V,0.3,V
Dec-2017,1.9,V,62,V,1006,V,2,V,0.4,V
