Fecha,García Escámez-Sta Cruz de TF TOL (µg/m³),Flag,García Escámez-Sta Cruz de TF BEN (µg/m³),Flag,García Escámez-Sta Cruz de TF XIL (µg/m³),Flag,García Escámez-Sta Cruz de TF DD (Grd),Flag,García Escámez-Sta Cruz de TF TMP (ºC),Flag
Jan-2015,,N,,N,,N,46,V,16.1,V
Feb-2015,,N,,N,,N,46,V,15.4,V
Mar-2015,,N,,N,,N,135,V,16.3,V
Apr-2015,,N,,N,,N,201,V,16.9,V
May-2015,1.1,V,0.5,V,1,V,136,V,20.1,V
Jun-2015,0.4,V,0.3,V,0.3,V,46,V,20.3,V
Jul-2015,0.7,V,0.3,V,0.5,V,203,V,24,V
Aug-2015,0.4,V,0.3,V,0.4,V,114,V,23.7,V
Sep-2015,0.7,V,0.4,V,0.7,V,182,V,23.3,V
Oct-2015,1.4,V,0.4,V,0.8,V,203,V,22.1,V
Nov-2015,1.1,V,0.3,V,0.9,V,114,V,20.1,V
Dec-2015,1.6,V,0.5,V,0.9,V,317,V,19,V
Jan-2016,2.1,V,0.6,V,0.8,V,113,V,17.8,V
Feb-2016,1.8,V,0.8,V,1.1,V,45,V,16.6,V
Mar-2016,2.2,V,0.7,V,0.8,V,113,V,16.1,V
Apr-2016,1.5,V,0.6,V,0.7,V,45,V,17.3,V
May-2016,0.9,V,0.5,V,0.2,V,46,V,18.3,V
Jun-2016,0.4,V,0.3,V,0.2,V,134,V,21.1,V
Jul-2016,0.7,V,0.3,V,0.3,V,44,V,23.2,V
Aug-2016,1.1,V,0.3,V,0.3,V,115,V,24.2,V
Sep-2016,0.4,V,0.2,V,0.2,V,47,V,22.6,V
Oct-2016,,N,,N,,N,114,V,21.5,V
Nov-2016,0.7,V,0.3,V,0.2,V,114,V,18.8,V
Dec-2016,0.4,V,0.4,V,0.3,V,317,V,17.9,V
Jan-2017,0.3,V,0.3,V,0.2,V,136,V,16.5,V
Feb-2017,0.3,V,0.3,V,0.2,V,45,V,37.2,V
Mar-2017,0.3,V,0.4,V,0.2,V,46,V,47.8,V
Apr-2017,,N,,N,,N,131,V,,N
May-2017,0.2,V,0.3,V,0.2,V,44,V,20.3,V
Jun-2017,0.5,V,0.3,V,0.3,V,43,V,22,V
Jul-2017,0.5,V,0.3,V,0.6,V,42,V,22.7,V
Aug-2017,0.4,V,0.3,V,0.7,V,201,V,24.4,V
Sep-2017,0.3,V,0.3,V,0.2,V,44,V,22.7,V
Oct-2017,0.2,V,0.2,V,0.1,V,203,V,22.9,V
Nov-2017,0.2,V,0.3,V,0.1,V,114,V,20.3,V
Dec-2017,0.3,V,0.3,V,0.3,V,113,V,17.6,V
