Fecha,Parque La Granja-Sta Cruz de TF SO2 (µg/m³),Flag,Parque La Granja-Sta Cruz de TF NOX (µg/m³),Flag,Parque La Granja-Sta Cruz de TF NO2 (µg/m³),Flag,"Parque La Granja-Sta Cruz de TF PM2,5 (µg/m³)",Flag,Parque La Granja-Sta Cruz de TF PM10 (µg/m³),Flag
Jan-2015,2,V,14,V,15,V,,N,,N
Feb-2015,2,V,12,V,13,V,3,V,10,V
Mar-2015,5,V,23,V,20,V,7,V,27,V
Apr-2015,3,V,15,V,15,V,,N,,N
May-2015,3,V,20,V,18,V,,N,,N
Jun-2015,3,V,15,V,11,V,,N,,N
Jul-2015,4,V,27,V,19,V,,N,,N
Aug-2015,3,V,15,V,15,V,,N,,N
Sep-2015,4,V,26,V,25,V,5,V,15,V
Oct-2015,4,V,,N,,N,4,V,13,V
Nov-2015,4,V,34,V,28,V,6,V,20,V
Dec-2015,4,V,44,V,35,V,14,V,40,V
Jan-2016,5,V,37,V,30,V,5,V,15,V
Feb-2016,3,V,20,V,18,V,3,V,12,V
Mar-2016,3,V,,N,,N,2,V,8,V
Apr-2016,3,V,13,V,11,V,2,V,6,V
May-2016,2,V,11,V,9,V,4,V,11,V
Jun-2016,3,V,17,V,13,V,4,V,11,V
Jul-2016,3,V,23,V,20,V,4,V,10,V
Aug-2016,4,V,36,V,27,V,5,V,16,V
Sep-2016,2,V,22,V,18,V,3,V,9,V
Oct-2016,2,V,29,V,22,V,,N,,N
Nov-2016,4,V,32,V,27,V,,N,,N
Dec-2016,2,V,33,V,27,V,,N,,N
Jan-2017,2,V,30,V,25,V,8,V,19,V
Feb-2017,3,V,24,V,20,V,6,V,14,V
Mar-2017,3,V,28,V,22,V,8,V,18,V
Apr-2017,,N,,N,,N,,N,,N
May-2017,2,V,12,V,10,V,2,V,5,V
Jun-2017,2,V,18,V,13,V,3,V,7,V
Jul-2017,3,V,16,V,10,V,2,V,7,V
Aug-2017,4,V,26,V,12,V,2,V,7,V
Sep-2017,,N,,N,,N,2,V,6,V
Oct-2017,5,V,30,V,13,V,4,V,11,V
Nov-2017,3,V,23,V,12,V,2,V,4,V
Dec-2017,3,V,40,V,30,V,2,V,4,V
