Fecha,Hora,Casa Cuna SO2 (µg/m³),Flag,Casa Cuna NO2 (µg/m³),Flag,Casa Cuna NOX (µg/m³),Flag,Casa Cuna PM10 (µg/m³),Flag,"Casa Cuna PM2,5 (µg/m³)",Flag
01-01-2017,24:00,3,V,25,V,37,V,44,V,17,V
02-01-2017,24:00,3,V,45,V,91,V,75,V,31,V
03-01-2017,24:00,2,V,53,V,110,V,78,V,35,V
04-01-2017,24:00,3,V,58,V,109,V,46,V,18,V
05-01-2017,24:00,3,V,61,V,140,V,24,V,11,V
06-01-2017,24:00,2,V,31,V,47,V,10,V,5,V
07-01-2017,24:00,3,V,22,V,32,V,30,V,11,V
08-01-2017,24:00,3,V,29,V,40,V,53,V,20,V
09-01-2017,24:00,4,V,55,V,91,V,46,V,19,V
10-01-2017,24:00,3,V,49,V,81,V,18,V,11,V
11-01-2017,24:00,2,V,27,V,37,V,14,V,7,V
12-01-2017,24:00,4,V,71,V,145,V,18,V,10,V
13-01-2017,24:00,3,V,59,V,100,V,120,V,44,V
14-01-2017,24:00,3,V,42,V,63,V,27,V,11,V
15-01-2017,24:00,2,V,28,V,36,V,16,V,8,V
16-01-2017,24:00,3,V,51,V,82,V,25,V,14,V
17-01-2017,24:00,4,V,57,V,108,V,51,V,22,V
18-01-2017,24:00,2,V,28,V,36,V,16,V,7,V
19-01-2017,24:00,2,V,24,V,29,V,9,V,4,V
20-01-2017,24:00,2,V,31,V,49,V,9,V,5,V
21-01-2017,24:00,2,V,16,V,16,V,5,V,3,V
22-01-2017,24:00,2,V,16,V,17,V,6,V,3,V
23-01-2017,24:00,2,V,28,V,37,V,7,V,3,V
24-01-2017,24:00,2,V,36,V,54,V,7,V,4,V
25-01-2017,24:00,5,V,66,V,162,V,10,V,6,V
26-01-2017,24:00,2,V,52,V,97,V,12,V,7,V
27-01-2017,24:00,3,V,54,V,96,V,9,V,5,V
28-01-2017,24:00,2,V,51,V,77,V,8,V,5,V
29-01-2017,24:00,2,V,24,V,30,V,8,V,5,V
30-01-2017,24:00,2,V,34,V,54,V,11,V,6,V
31-01-2017,24:00,2,V,30,V,41,V,11,V,6,V
01-02-2017,24:00,2,V,23,V,27,V,11,V,6,V
02-02-2017,24:00,2,V,28,V,39,V,8,V,5,V
03-02-2017,24:00,3,V,56,V,118,V,12,V,7,V
04-02-2017,24:00,2,V,31,V,49,V,6,V,4,V
05-02-2017,24:00,2,V,34,V,57,V,6,V,4,V
06-02-2017,24:00,3,V,45,V,62,V,11,V,7,V
07-02-2017,24:00,2,V,52,V,64,V,12,V,7,V
08-02-2017,24:00,3,V,81,V,133,V,11,V,6,V
09-02-2017,24:00,,N,39,V,44,V,9,V,5,V
10-02-2017,24:00,,N,33,V,45,V,7,V,4,V
11-02-2017,24:00,2,V,29,V,38,V,7,V,4,V
12-02-2017,24:00,2,V,25,V,29,V,8,V,5,V
13-02-2017,24:00,3,V,67,V,129,V,11,V,6,V
14-02-2017,24:00,2,V,67,V,122,V,10,V,6,V
15-02-2017,24:00,2,V,66,V,128,V,10,V,7,V
16-02-2017,24:00,,N,44,V,77,V,10,V,7,V
17-02-2017,24:00,10,V,57,V,133,V,63,V,20,V
18-02-2017,24:00,2,V,18,V,21,V,22,V,11,V
19-02-2017,24:00,2,V,14,V,15,V,10,V,6,V
20-02-2017,24:00,2,V,29,V,34,V,12,V,7,V
21-02-2017,24:00,2,V,23,V,26,V,25,V,13,V
22-02-2017,24:00,2,V,20,V,22,V,53,V,21,V
23-02-2017,24:00,2,V,23,V,27,V,84,V,30,V
24-02-2017,24:00,2,V,29,V,38,V,81,V,28,V
25-02-2017,24:00,2,V,19,V,24,V,21,V,9,V
26-02-2017,24:00,2,V,21,V,27,V,7,V,3,V
27-02-2017,24:00,2,V,28,V,40,V,9,V,4,V
28-02-2017,24:00,2,V,36,V,50,V,9,V,5,V
01-03-2017,24:00,2,V,41,V,62,V,21,V,11,V
02-03-2017,24:00,2,V,18,V,19,V,24,V,12,V
03-03-2017,24:00,2,V,18,V,22,V,12,V,6,V
04-03-2017,24:00,2,V,14,V,15,V,10,V,6,V
05-03-2017,24:00,2,V,20,V,25,V,13,V,8,V
06-03-2017,24:00,4,V,55,V,100,V,18,V,11,V
07-03-2017,24:00,3,V,60,V,131,V,28,V,18,V
08-03-2017,24:00,4,V,73,V,141,V,31,V,19,V
09-03-2017,24:00,4,V,56,V,111,V,45,V,14,V
10-03-2017,24:00,5,V,44,V,101,V,156,V,39,V
11-03-2017,24:00,5,V,39,V,56,V,96,V,28,V
12-03-2017,24:00,3,V,37,V,50,V,36,V,18,V
13-03-2017,24:00,2,V,34,V,48,V,21,V,12,V
14-03-2017,24:00,2,V,22,V,25,V,13,V,7,V
15-03-2017,24:00,2,V,24,V,28,V,15,V,8,V
