Fecha,Hora,Casa Cuna DD (Grd),Flag,Casa Cuna VV (m/s),Flag,Casa Cuna TMP (ºC),Flag,Casa Cuna HR (%),Flag,Casa Cuna PRB (mb),Flag
01-01-2017,24:00,225,V,2.5,V,17.1,V,52,V,987,V
02-01-2017,24:00,180,V,1.6,V,16.9,V,71,V,981,V
03-01-2017,24:00,199,V,2.1,V,17.3,V,72,V,986,V
04-01-2017,24:00,291,V,0.8,V,17.4,V,57,V,990,V
05-01-2017,24:00,290,V,1,V,17.2,V,52,V,987,V
06-01-2017,24:00,226,V,3.4,V,17.6,V,39,V,984,V
07-01-2017,24:00,222,V,4.6,V,19.5,V,26,V,984,V
08-01-2017,24:00,228,V,4.3,V,19,V,41,V,984,V
09-01-2017,24:00,71,V,1.9,V,17.4,V,66,V,986,V
10-01-2017,24:00,90,V,4,V,15.9,V,67,V,991,V
11-01-2017,24:00,69,V,2,V,16.6,V,63,V,990,V
12-01-2017,24:00,113,V,2.1,V,16.4,V,73,V,988,V
13-01-2017,24:00,222,V,2.5,V,17.5,V,53,V,990,V
14-01-2017,24:00,89,V,2.4,V,16.3,V,65,V,990,V
15-01-2017,24:00,68,V,1.8,V,15.7,V,61,V,987,V
16-01-2017,24:00,71,V,2,V,16.2,V,66,V,988,V
17-01-2017,24:00,92,V,2.3,V,16.1,V,68,V,988,V
18-01-2017,24:00,300,V,1.5,V,15.1,V,58,V,987,V
19-01-2017,24:00,200,V,2,V,15.3,V,62,V,988,V
20-01-2017,24:00,316,V,2.4,V,15.9,V,62,V,988,V
21-01-2017,24:00,317,V,3,V,15.7,V,69,V,989,V
22-01-2017,24:00,47,V,2.5,V,15.2,V,63,V,991,V
23-01-2017,24:00,184,V,1.6,V,15.6,V,67,V,993,V
24-01-2017,24:00,89,V,2.9,V,15.6,V,61,V,991,V
25-01-2017,24:00,131,V,1.3,V,15.7,V,61,V,989,V
26-01-2017,24:00,294,V,2,V,15.5,V,68,V,987,V
27-01-2017,24:00,318,V,3,V,16,V,70,V,991,V
28-01-2017,24:00,92,V,2.3,V,15.7,V,68,V,992,V
29-01-2017,24:00,88,V,2.4,V,16.1,V,59,V,991,V
30-01-2017,24:00,291,V,2.1,V,16.2,V,64,V,989,V
31-01-2017,24:00,247,V,2.1,V,16.1,V,65,V,988,V
01-02-2017,24:00,222,V,2.6,V,15.9,V,65,V,990,V
02-02-2017,24:00,158,V,1.1,V,17,V,66,V,991,V
03-02-2017,24:00,314,V,1.7,V,17,V,66,V,993,V
04-02-2017,24:00,311,V,2.1,V,16.4,V,65,V,995,V
05-02-2017,24:00,110,V,2.3,V,17.3,V,71,V,995,V
06-02-2017,24:00,315,V,3,V,17,V,65,V,994,V
07-02-2017,24:00,313,V,3.5,V,16.7,V,66,V,993,V
08-02-2017,24:00,87,V,3.7,V,16.1,V,67,V,991,V
09-02-2017,24:00,314,V,2.2,V,15.9,V,62,V,990,V
10-02-2017,24:00,295,V,3.6,V,15.2,V,63,V,986,V
11-02-2017,24:00,292,V,2.8,V,16.3,V,69,V,976,V
12-02-2017,24:00,227,V,1.9,V,15.3,V,66,V,971,V
13-02-2017,24:00,161,V,2.2,V,15.8,V,57,V,982,V
14-02-2017,24:00,180,V,2.2,V,15.7,V,68,V,984,V
15-02-2017,24:00,203,V,1.8,V,15,V,73,V,980,V
16-02-2017,24:00,295,V,2.9,V,16.2,V,67,V,987,V
17-02-2017,24:00,298,V,3.9,V,20.2,V,42,V,988,V
18-02-2017,24:00,314,V,1.8,V,18.1,V,50,V,990,V
19-02-2017,24:00,51,V,2.5,V,16.1,V,64,V,989,V
20-02-2017,24:00,110,V,2.5,V,15.5,V,65,V,986,V
21-02-2017,24:00,205,V,2.2,V,15.1,V,68,V,984,V
22-02-2017,24:00,295,V,2.7,V,15.9,V,70,V,985,V
23-02-2017,24:00,298,V,2.9,V,16.5,V,65,V,986,V
24-02-2017,24:00,46,V,1.8,V,16.2,V,63,V,988,V
25-02-2017,24:00,69,V,1.9,V,16.2,V,60,V,990,V
26-02-2017,24:00,68,V,2,V,15.9,V,64,V,990,V
27-02-2017,24:00,66,V,2.1,V,15.7,V,60,V,988,V
28-02-2017,24:00,70,V,2.8,V,15.8,V,63,V,987,V
01-03-2017,24:00,89,V,4.5,V,15.9,V,66,V,985,V
02-03-2017,24:00,316,V,4.1,V,16.4,V,68,V,983,V
03-03-2017,24:00,88,V,3.3,V,15.8,V,59,V,987,V
04-03-2017,24:00,157,V,3,V,15.6,V,61,V,988,V
05-03-2017,24:00,67,V,2.3,V,17.5,V,65,V,989,V
06-03-2017,24:00,90,V,3,V,16.8,V,74,V,989,V
07-03-2017,24:00,93,V,2.1,V,16.8,V,75,V,988,V
08-03-2017,24:00,73,V,2,V,18.9,V,63,V,985,V
09-03-2017,24:00,295,V,2,V,24.6,V,29,V,983,V
10-03-2017,24:00,295,V,2,V,25.9,V,19,V,981,V
11-03-2017,24:00,65,V,2,V,23.7,V,27,V,985,V
12-03-2017,24:00,112,V,2.5,V,18.8,V,61,V,988,V
13-03-2017,24:00,66,V,2.6,V,17,V,60,V,989,V
14-03-2017,24:00,89,V,2.6,V,15.9,V,57,V,986,V
15-03-2017,24:00,293,V,2.5,V,15.8,V,57,V,985,V
16-03-2017,24:00,295,V,2.6,V,16.1,V,64,V,984,V
17-03-2017,24:00,312,V,3.1,V,15.5,V,67,V,982,V
18-03-2017,24:00,291,V,2.3,V,15.2,V,67,V,983,V
19-03-2017,24:00,317,V,2.7,V,15.9,V,66,V,985,V
20-03-2017,24:00,317,V,4.1,V,16.7,V,63,V,990,V
21-03-2017,24:00,50,V,2,V,15.7,V,60,V,991,V
22-03-2017,24:00,68,V,1.9,V,16.1,V,58,V,990,V
23-03-2017,24:00,115,V,2.6,V,,N,,N,,N
24-03-2017,24:00,71,V,1.9,V,13.9,V,65,V,987,V
