Fecha,Hora,Casa Cuna VV (m/s),Flag,Casa Cuna DD (Grd),Flag,Casa Cuna TMP (ºC),Flag,Casa Cuna HR (%),Flag,Casa Cuna PRB (mb),Flag
01-01-2015,24:00,3.6,V,89,V,16.8,V,55,V,998,V
02-01-2015,24:00,4.1,V,89,V,16.1,V,53,V,1000,V
03-01-2015,24:00,4.8,V,94,V,15.6,V,47,V,1000,V
04-01-2015,24:00,5.3,V,110,V,15.9,V,45,V,998,V
05-01-2015,24:00,3.7,V,92,V,15.6,V,50,V,998,V
06-01-2015,24:00,3.4,V,70,V,15.5,V,59,V,996,V
07-01-2015,24:00,2.4,V,65,V,15.5,V,62,V,996,V
08-01-2015,24:00,3,V,65,V,15.7,V,63,V,997,V
09-01-2015,24:00,3.6,V,91,V,15.5,V,66,V,999,V
10-01-2015,24:00,3.3,V,88,V,16.3,V,63,V,998,V
11-01-2015,24:00,2.9,V,72,V,17.2,V,61,V,995,V
12-01-2015,24:00,3.1,V,69,V,17.1,V,65,V,991,V
13-01-2015,24:00,2.1,V,296,V,16.7,V,53,V,990,V
14-01-2015,24:00,1.4,V,292,V,15.8,V,67,V,992,V
15-01-2015,24:00,3.8,V,310,V,16.2,V,67,V,993,V
16-01-2015,24:00,4,V,316,V,15.3,V,70,V,993,V
17-01-2015,24:00,2.1,V,95,V,14.8,V,56,V,997,V
18-01-2015,24:00,3.2,V,273,V,15.4,V,63,V,994,V
19-01-2015,24:00,2.3,V,156,V,15.3,V,67,V,991,V
20-01-2015,24:00,2.1,V,140,V,14.5,V,65,V,990,V
21-01-2015,24:00,2.2,V,93,V,14.8,V,60,V,992,V
22-01-2015,24:00,2,V,159,V,14.9,V,60,V,995,V
23-01-2015,24:00,1.9,V,92,V,15.1,V,70,V,994,V
24-01-2015,24:00,1.9,V,138,V,15.4,V,66,V,993,V
25-01-2015,24:00,1.9,V,112,V,15.5,V,60,V,991,V
26-01-2015,24:00,3,V,89,V,15.5,V,69,V,994,V
27-01-2015,24:00,2.4,V,64,V,15.3,V,64,V,997,V
28-01-2015,24:00,2.8,V,63,V,15.3,V,59,V,996,V
29-01-2015,24:00,2,V,112,V,15.2,V,63,V,994,V
30-01-2015,24:00,1.6,V,225,V,16.1,V,70,V,992,V
31-01-2015,24:00,2.8,V,223,V,15.6,V,72,V,990,V
01-02-2015,24:00,2.5,V,68,V,15.3,V,68,V,989,V
