Fecha,Hora,Casa Cuna SO2 (µg/m³),Flag,Casa Cuna NO2 (µg/m³),Flag,Casa Cuna NOX (µg/m³),Flag,Casa Cuna PM10 (µg/m³),Flag,Casa Cuna O3 (µg/m³),Flag
01-01-2015,24:00,3,V,40,V,55,V,,N,53,V
02-01-2015,24:00,3,V,53,V,87,V,,N,52,V
03-01-2015,24:00,2,V,40,V,59,V,,N,62,V
04-01-2015,24:00,3,V,40,V,61,V,,N,62,V
05-01-2015,24:00,4,V,57,V,87,V,,N,50,V
06-01-2015,24:00,3,V,27,V,35,V,,N,66,V
07-01-2015,24:00,3,V,32,V,40,V,,N,62,V
08-01-2015,24:00,2,V,37,V,53,V,,N,57,V
09-01-2015,24:00,5,V,62,V,99,V,,N,44,V
10-01-2015,24:00,4,V,48,V,80,V,,N,42,V
11-01-2015,24:00,5,V,42,V,58,V,,N,47,V
12-01-2015,24:00,6,V,63,V,102,V,,N,37,V
13-01-2015,24:00,2,V,36,V,50,V,,N,39,V
14-01-2015,24:00,4,V,30,V,41,V,,N,53,V
15-01-2015,24:00,3,V,37,V,54,V,,N,49,V
16-01-2015,24:00,3,V,35,V,52,V,,N,54,V
17-01-2015,24:00,2,V,18,V,22,V,,N,68,V
18-01-2015,24:00,2,V,17,V,20,V,,N,65,V
19-01-2015,24:00,3,V,21,V,27,V,,N,64,V
20-01-2015,24:00,3,V,23,V,29,V,,N,64,V
21-01-2015,24:00,3,V,28,V,36,V,,N,65,V
22-01-2015,24:00,3,V,31,V,39,V,,N,64,V
23-01-2015,24:00,2,V,33,V,48,V,,N,56,V
24-01-2015,24:00,2,V,19,V,24,V,,N,60,V
25-01-2015,24:00,2,V,19,V,22,V,,N,67,V
26-01-2015,24:00,4,V,61,V,101,V,,N,49,V
27-01-2015,24:00,2,V,40,V,55,V,,N,53,V
28-01-2015,24:00,2,V,36,V,49,V,,N,57,V
29-01-2015,24:00,2,V,29,V,38,V,,N,59,V
30-01-2015,24:00,3,V,20,V,25,V,,N,57,V
31-01-2015,24:00,2,V,17,V,21,V,,N,57,V
01-02-2015,24:00,2,V,22,V,27,V,,N,65,V
02-02-2015,24:00,2,V,21,V,26,V,,N,70,V
03-02-2015,24:00,3,V,29,V,36,V,,N,61,V
04-02-2015,24:00,3,V,30,V,42,V,,N,61,V
05-02-2015,24:00,3,V,47,V,69,V,,N,57,V
06-02-2015,24:00,3,V,41,V,59,V,,N,60,V
07-02-2015,24:00,3,V,47,V,72,V,,N,56,V
08-02-2015,24:00,3,V,42,V,53,V,,N,50,V
09-02-2015,24:00,6,V,95,V,183,V,,N,32,V
10-02-2015,24:00,3,V,68,V,117,V,,N,37,V
11-02-2015,24:00,2,V,26,V,31,V,,N,58,V
12-02-2015,24:00,2,V,25,V,30,V,,N,69,V
13-02-2015,24:00,3,V,26,V,32,V,,N,73,V
14-02-2015,24:00,2,V,29,V,38,V,,N,73,V
15-02-2015,24:00,3,V,33,V,42,V,,N,59,V
16-02-2015,24:00,2,V,22,V,27,V,,N,58,V
17-02-2015,24:00,3,V,22,V,26,V,,N,69,V
18-02-2015,24:00,2,V,18,V,22,V,,N,74,V
19-02-2015,24:00,2,V,19,V,24,V,,N,79,V
20-02-2015,24:00,2,V,19,V,20,V,,N,84,V
21-02-2015,24:00,2,V,15,V,17,V,,N,74,V
22-02-2015,24:00,3,V,17,V,21,V,,N,64,V
23-02-2015,24:00,3,V,27,V,40,V,,N,44,V
24-02-2015,24:00,2,V,27,V,38,V,,N,54,V
25-02-2015,24:00,3,V,47,V,82,V,,N,58,V
26-02-2015,24:00,3,V,47,V,70,V,,N,56,V
27-02-2015,24:00,3,V,32,V,48,V,,N,59,V
28-02-2015,24:00,2,V,17,V,19,V,,N,68,V
01-03-2015,24:00,3,V,17,V,21,V,,N,61,V
02-03-2015,24:00,5,V,39,V,68,V,,N,49,V
03-03-2015,24:00,4,V,46,V,81,V,,N,42,V
04-03-2015,24:00,5,V,52,V,103,V,,N,39,V
05-03-2015,24:00,6,V,61,V,151,V,,N,31,V
06-03-2015,24:00,6,V,46,V,95,V,,N,49,V
07-03-2015,24:00,10,V,56,V,96,V,,N,36,V
08-03-2015,24:00,5,V,46,V,68,V,,N,59,V
