Fecha,Hora,Casa Cuna SO2 (µg/m³),Flag,Casa Cuna NO2 (µg/m³),Flag,Casa Cuna NOX (µg/m³),Flag,Casa Cuna O3 (µg/m³),Flag,Casa Cuna PM10 (µg/m³),Flag
01-01-2016,24:00,3,V,43,V,56,V,35,V,29,V
02-01-2016,24:00,2,V,40,V,64,V,40,V,21,V
03-01-2016,24:00,3,V,44,V,74,V,34,V,15,V
04-01-2016,24:00,2,V,36,V,59,V,37,V,8,V
05-01-2016,24:00,3,V,30,V,52,V,38,V,8,V
06-01-2016,24:00,2,V,22,V,28,V,60,V,12,V
07-01-2016,24:00,4,V,46,V,92,V,41,V,13,V
08-01-2016,24:00,3,V,45,V,76,V,37,V,13,V
09-01-2016,24:00,3,V,47,V,86,V,32,V,10,V
10-01-2016,24:00,2,V,38,V,57,V,35,V,9,V
11-01-2016,24:00,6,V,60,V,137,V,23,V,13,V
12-01-2016,24:00,4,V,59,V,117,V,27,V,12,V
13-01-2016,24:00,3,V,59,V,118,V,19,V,18,V
14-01-2016,24:00,6,V,58,V,130,V,14,V,19,V
15-01-2016,24:00,7,V,59,V,125,V,16,V,21,V
16-01-2016,24:00,3,V,44,V,79,V,29,V,18,V
17-01-2016,24:00,4,V,46,V,68,V,39,V,10,V
18-01-2016,24:00,5,V,36,V,66,V,53,V,17,V
19-01-2016,24:00,2,V,26,V,37,V,59,V,9,V
20-01-2016,24:00,4,V,47,V,87,V,35,V,9,V
21-01-2016,24:00,3,V,49,V,96,V,25,V,9,V
22-01-2016,24:00,3,V,48,V,106,V,22,V,8,V
23-01-2016,24:00,4,V,46,V,88,V,30,V,12,V
24-01-2016,24:00,3,V,39,V,61,V,39,V,32,V
25-01-2016,24:00,6,V,59,V,114,V,37,V,41,V
26-01-2016,24:00,8,V,59,V,104,V,38,V,30,V
27-01-2016,24:00,4,V,58,V,99,V,31,V,28,V
28-01-2016,24:00,5,V,57,V,97,V,35,V,14,V
29-01-2016,24:00,5,V,50,V,84,V,48,V,10,V
30-01-2016,24:00,3,V,38,V,53,V,56,V,13,V
31-01-2016,24:00,4,V,38,V,49,V,60,V,20,V
01-02-2016,24:00,6,V,70,V,126,V,38,V,29,V
02-02-2016,24:00,3,V,46,V,66,V,40,V,21,V
03-02-2016,24:00,4,V,52,V,92,V,38,V,19,V
04-02-2016,24:00,3,V,53,V,111,V,33,V,21,V
05-02-2016,24:00,5,V,41,V,79,V,43,V,17,V
06-02-2016,24:00,4,V,26,V,39,V,49,V,15,V
07-02-2016,24:00,4,V,43,V,62,V,33,V,20,V
08-02-2016,24:00,3,V,52,V,94,V,27,V,17,V
09-02-2016,24:00,4,V,43,V,60,V,30,V,11,V
10-02-2016,24:00,3,V,33,V,54,V,46,V,8,V
11-02-2016,24:00,2,V,15,V,18,V,57,V,8,V
12-02-2016,24:00,2,V,17,V,23,V,48,V,5,V
13-02-2016,24:00,5,V,20,V,34,V,42,V,6,V
14-02-2016,24:00,2,V,15,V,20,V,49,V,12,V
15-02-2016,24:00,,N,,N,,N,,N,16,V
16-02-2016,24:00,,N,,N,,N,,N,14,V
17-02-2016,24:00,2,V,23,V,29,V,65,V,13,V
18-02-2016,24:00,2,V,17,V,22,V,61,V,9,V
19-02-2016,24:00,2,V,18,V,21,V,68,V,7,V
20-02-2016,24:00,2,V,14,V,14,V,69,V,10,V
21-02-2016,24:00,2,V,17,V,22,V,69,V,11,V
22-02-2016,24:00,3,V,25,V,36,V,56,V,11,V
23-02-2016,24:00,2,V,29,V,40,V,63,V,15,V
24-02-2016,24:00,2,V,28,V,36,V,69,V,21,V
25-02-2016,24:00,3,V,32,V,50,V,59,V,20,V
26-02-2016,24:00,2,V,17,V,22,V,68,V,8,V
27-02-2016,24:00,2,V,14,V,15,V,65,V,8,V
28-02-2016,24:00,2,V,12,V,15,V,61,V,7,V
29-02-2016,24:00,2,V,25,V,33,V,59,V,8,V
01-03-2016,24:00,4,V,52,V,81,V,55,V,19,V
02-03-2016,24:00,5,V,62,V,118,V,37,V,49,V
03-03-2016,24:00,3,V,53,V,85,V,42,V,26,V
04-03-2016,24:00,2,V,28,V,46,V,54,V,10,V
05-03-2016,24:00,2,V,17,V,21,V,67,V,8,V
06-03-2016,24:00,2,V,15,V,18,V,66,V,7,V
07-03-2016,24:00,2,V,20,V,25,V,66,V,6,V
08-03-2016,24:00,2,V,19,V,25,V,64,V,9,V
09-03-2016,24:00,2,V,25,V,33,V,63,V,15,V
10-03-2016,24:00,2,V,23,V,34,V,57,V,12,V
11-03-2016,24:00,2,V,26,V,37,V,59,V,12,V
12-03-2016,24:00,4,V,37,V,55,V,54,V,14,V
13-03-2016,24:00,2,V,24,V,33,V,67,V,11,V
14-03-2016,24:00,4,V,56,V,105,V,49,V,11,V
15-03-2016,24:00,3,V,48,V,74,V,43,V,11,V
16-03-2016,24:00,3,V,59,V,112,V,39,V,19,V
17-03-2016,24:00,4,V,63,V,123,V,31,V,23,V
18-03-2016,24:00,3,V,35,V,66,V,36,V,17,V
19-03-2016,24:00,2,V,15,V,19,V,60,V,7,V
20-03-2016,24:00,2,V,12,V,14,V,67,V,6,V
21-03-2016,24:00,2,V,17,V,22,V,79,V,9,V
22-03-2016,24:00,2,V,19,V,29,V,78,V,11,V
23-03-2016,24:00,2,V,16,V,20,V,68,V,11,V
24-03-2016,24:00,2,V,13,V,16,V,72,V,9,V
25-03-2016,24:00,3,V,21,V,25,V,77,V,13,V
26-03-2016,24:00,3,V,26,V,33,V,70,V,11,V
27-03-2016,24:00,4,V,24,V,31,V,65,V,8,V
28-03-2016,24:00,6,V,49,V,91,V,36,V,9,V
29-03-2016,24:00,,N,52,V,77,V,,N,11,V
30-03-2016,24:00,,N,,N,,N,,N,,N
31-03-2016,24:00,,N,,N,,N,,N,,N
01-04-2016,24:00,,N,,N,,N,,N,,N
02-04-2016,24:00,,N,,N,,N,,N,,N
03-04-2016,24:00,,N,,N,,N,,N,,N
04-04-2016,24:00,,N,,N,,N,,N,,N
05-04-2016,24:00,,N,,N,,N,,N,,N
06-04-2016,24:00,,N,,N,,N,,N,,N
07-04-2016,24:00,,N,,N,,N,,N,,N
08-04-2016,24:00,2,V,19,V,23,V,67,V,15,V
09-04-2016,24:00,2,V,12,V,15,V,64,V,16,V
10-04-2016,24:00,2,V,10,V,12,V,60,V,8,V
11-04-2016,24:00,2,V,27,V,34,V,52,V,10,V
12-04-2016,24:00,4,V,65,V,127,V,36,V,11,V
13-04-2016,24:00,3,V,58,V,113,V,37,V,10,V
14-04-2016,24:00,3,V,62,V,126,V,30,V,10,V
15-04-2016,24:00,3,V,55,V,109,V,29,V,8,V
16-04-2016,24:00,2,V,47,V,87,V,28,V,11,V
17-04-2016,24:00,2,V,35,V,59,V,28,V,11,V
18-04-2016,24:00,2,V,21,V,37,V,51,V,9,V
19-04-2016,24:00,2,V,25,V,33,V,71,V,8,V
20-04-2016,24:00,3,V,58,V,102,V,53,V,15,V
21-04-2016,24:00,4,V,63,V,123,V,42,V,12,V
22-04-2016,24:00,6,V,57,V,127,V,31,V,12,V
23-04-2016,24:00,2,V,13,V,17,V,56,V,6,V
24-04-2016,24:00,2,V,11,V,15,V,70,V,6,V
25-04-2016,24:00,2,V,18,V,22,V,65,V,8,V
26-04-2016,24:00,2,V,17,V,24,V,70,V,8,V
27-04-2016,24:00,2,V,27,V,45,V,66,V,10,V
28-04-2016,24:00,5,V,36,V,72,V,38,V,8,V
29-04-2016,24:00,3,V,29,V,50,V,39,V,11,V
30-04-2016,24:00,2,V,23,V,34,V,52,V,9,V
01-05-2016,24:00,2,V,14,V,19,V,73,V,14,V
02-05-2016,24:00,2,V,11,V,13,V,82,V,18,V
03-05-2016,24:00,2,V,15,V,18,V,75,V,17,V
04-05-2016,24:00,2,V,33,V,55,V,61,V,16,V
05-05-2016,24:00,2,V,22,V,29,V,72,V,14,V
06-05-2016,24:00,2,V,15,V,18,V,75,V,11,V
07-05-2016,24:00,2,V,32,V,52,V,52,V,11,V
08-05-2016,24:00,3,V,21,V,28,V,47,V,9,V
09-05-2016,24:00,2,V,22,V,35,V,60,V,10,V
10-05-2016,24:00,2,V,26,V,37,V,68,V,10,V
11-05-2016,24:00,2,V,43,V,74,V,60,V,12,V
12-05-2016,24:00,2,V,37,V,59,V,53,V,10,V
13-05-2016,24:00,2,V,19,V,25,V,61,V,7,V
14-05-2016,24:00,2,V,16,V,19,V,68,V,9,V
15-05-2016,24:00,2,V,14,V,17,V,75,V,10,V
16-05-2016,24:00,2,V,18,V,21,V,85,V,11,V
17-05-2016,24:00,2,V,17,V,21,V,87,V,13,V
18-05-2016,24:00,2,V,17,V,23,V,55,V,9,V
19-05-2016,24:00,2,V,19,V,24,V,62,V,11,V
20-05-2016,24:00,2,V,13,V,15,V,70,V,15,V
21-05-2016,24:00,2,V,10,V,13,V,48,V,6,V
22-05-2016,24:00,2,V,10,V,13,V,46,V,9,V
23-05-2016,24:00,2,V,19,V,30,V,43,V,10,V
24-05-2016,24:00,2,V,13,V,18,V,34,V,5,V
25-05-2016,24:00,2,V,23,V,35,V,59,V,14,V
26-05-2016,24:00,3,V,58,V,121,V,37,V,21,V
27-05-2016,24:00,3,V,59,V,112,V,41,V,16,V
28-05-2016,24:00,2,V,21,V,31,V,63,V,9,V
29-05-2016,24:00,2,V,13,V,15,V,73,V,8,V
30-05-2016,24:00,2,V,15,V,19,V,71,V,10,V
31-05-2016,24:00,7,V,43,V,68,V,53,V,13,V
01-06-2016,24:00,5,V,56,V,116,V,40,V,16,V
02-06-2016,24:00,3,V,31,V,55,V,50,V,11,V
03-06-2016,24:00,5,V,28,V,54,V,38,V,8,V
04-06-2016,24:00,4,V,20,V,34,V,44,V,7,V
05-06-2016,24:00,2,V,16,V,27,V,43,V,7,V
06-06-2016,24:00,6,V,32,V,76,V,28,V,9,V
07-06-2016,24:00,3,V,35,V,76,V,30,V,9,V
08-06-2016,24:00,5,V,,N,,N,26,V,11,V
09-06-2016,24:00,2,V,,N,,N,32,V,6,V
10-06-2016,24:00,2,V,,N,,N,24,V,5,V
11-06-2016,24:00,2,V,,N,,N,64,V,10,V
12-06-2016,24:00,3,V,,N,,N,47,V,10,V
13-06-2016,24:00,2,V,,N,,N,47,V,8,V
14-06-2016,24:00,2,V,,N,,N,21,V,11,V
15-06-2016,24:00,2,V,,N,,N,18,V,6,V
16-06-2016,24:00,2,V,,N,,N,50,V,9,V
17-06-2016,24:00,2,V,,N,,N,49,V,11,V
18-06-2016,24:00,2,V,18,V,26,V,55,V,12,V
19-06-2016,24:00,4,V,20,V,29,V,56,V,16,V
20-06-2016,24:00,2,V,13,V,15,V,58,V,12,V
21-06-2016,24:00,,N,,N,,N,,N,18,V
22-06-2016,24:00,,N,,N,,N,,N,14,V
23-06-2016,24:00,3,V,51,V,103,V,27,V,34,V
24-06-2016,24:00,6,V,,N,,N,,N,51,V
25-06-2016,24:00,3,V,32,V,54,V,,N,27,V
26-06-2016,24:00,2,V,11,V,15,V,61,V,15,V
27-06-2016,24:00,2,V,13,V,18,V,56,V,10,V
28-06-2016,24:00,2,V,12,V,15,V,58,V,16,V
29-06-2016,24:00,2,V,10,V,13,V,50,V,15,V
30-06-2016,24:00,2,V,11,V,14,V,45,V,14,V
01-07-2016,24:00,2,V,9,V,12,V,51,V,11,V
02-07-2016,24:00,2,V,10,V,12,V,48,V,8,V
03-07-2016,24:00,2,V,9,V,10,V,45,V,7,V
04-07-2016,24:00,3,V,10,V,12,V,39,V,8,V
05-07-2016,24:00,2,V,9,V,12,V,29,V,6,V
06-07-2016,24:00,2,V,10,V,15,V,32,V,5,V
07-07-2016,24:00,2,V,14,V,20,V,46,V,11,V
08-07-2016,24:00,2,V,11,V,14,V,49,V,8,V
09-07-2016,24:00,3,V,,N,,N,67,V,17,V
10-07-2016,24:00,2,V,,N,,N,53,V,11,V
11-07-2016,24:00,2,V,,N,,N,21,V,7,V
12-07-2016,24:00,2,V,,N,,N,43,V,,N
13-07-2016,24:00,4,V,,N,,N,53,V,,N
14-07-2016,24:00,3,V,,N,,N,63,V,,N
15-07-2016,24:00,5,V,,N,,N,78,V,,N
16-07-2016,24:00,4,V,,N,,N,87,V,,N
17-07-2016,24:00,6,V,,N,,N,79,V,,N
18-07-2016,24:00,2,V,,N,,N,75,V,,N
19-07-2016,24:00,2,V,,N,,N,62,V,,N
20-07-2016,24:00,6,V,,N,,N,27,V,,N
21-07-2016,24:00,4,V,,N,,N,,N,,N
22-07-2016,24:00,7,V,,N,,N,,N,,N
23-07-2016,24:00,2,V,,N,,N,,N,,N
24-07-2016,24:00,2,V,,N,,N,,N,,N
25-07-2016,24:00,10,V,,N,,N,,N,,N
26-07-2016,24:00,6,V,31,V,53,V,27,V,,N
