Fecha,Casa Cuna CO (mg/m³),Flag,Casa Cuna VV (m/s),Flag,Casa Cuna TMP (ºC),Flag,Casa Cuna HR (%),Flag,Casa Cuna PRB (mb),Flag
Jan-2015,0.2,V,3.2,V,15.7,V,62,V,995,V
Feb-2015,0.2,V,3.1,V,15,V,65,V,990,V
Mar-2015,0.3,V,3.3,V,16.1,V,61,V,989,V
Apr-2015,0.3,V,2.8,V,16.5,V,65,V,987,V
May-2015,0.3,V,4.7,V,19.8,V,59,V,986,V
Jun-2015,0.2,V,4,V,19.9,V,65,V,987,V
Jul-2015,0.2,V,5.1,V,23.6,V,58,V,985,V
Aug-2015,0.2,V,3.2,V,23.2,V,63,V,986,V
Sep-2015,0.3,V,2.4,V,22.9,V,68,V,987,V
Oct-2015,0.3,V,2.8,V,21.8,V,68,V,986,V
Nov-2015,0.3,V,2.7,V,19.8,V,65,V,992,V
Dec-2015,0.4,V,1.5,V,18.9,V,57,V,993,V
Jan-2016,0.3,V,1.9,V,17.6,V,64,V,993,V
Feb-2016,0.2,V,2.7,V,16.2,V,66,V,993,V
Mar-2016,0.2,V,3.1,V,15.8,V,64,V,989,V
Apr-2016,,N,3.7,V,,N,,N,,N
May-2016,0.2,V,4.5,V,18.1,V,63,V,985,V
Jun-2016,0.2,V,4,V,20.9,V,62,V,987,V
Jul-2016,0.2,V,4.7,V,23,V,55,V,985,V
Aug-2016,0.3,V,4.8,V,24.1,V,57,V,984,V
Sep-2016,0.2,V,3.3,V,22.4,V,61,V,987,V
Oct-2016,,N,2.2,V,,N,,N,,N
Nov-2016,0.3,V,1.9,V,18.6,V,68,V,986,V
Dec-2016,0.3,V,3.4,V,17.8,V,63,V,989,V
Jan-2017,0.3,V,2.7,V,16.4,V,61,V,988,V
Feb-2017,0.2,V,3.1,V,16.3,V,64,V,987,V
Mar-2017,0.3,V,2.1,V,17.3,V,58,V,986,V
Apr-2017,,N,2.8,V,,N,,N,,N
May-2017,0.2,V,4.5,V,19.8,V,64,V,984,V
Jun-2017,0.2,V,4.5,V,21.8,V,61,V,984,V
Jul-2017,0.2,V,4.8,V,22.7,V,61,V,985,V
Aug-2017,0.3,V,4.3,V,24.4,V,59,V,983,V
Sep-2017,0.3,V,3.1,V,22.4,V,71,V,986,V
Oct-2017,0.3,V,1.7,V,22.8,V,62,V,987,V
Nov-2017,0.3,V,2.3,V,20.8,V,67,V,985,V
Dec-2017,0.3,V,2.6,V,17.2,V,64,V,991,V
