Fecha,Hora,Depósito Tristán-Sta Cruz de TF DD (Grd),Flag,Depósito Tristán-Sta Cruz de TF VV (m/s),Flag,Depósito Tristán-Sta Cruz de TF TMP (ºC),Flag,Depósito Tristán-Sta Cruz de TF HR (%),Flag,Depósito Tristán-Sta Cruz de TF PRB (mb),Flag
01-01-2017,24:00,200,V,1.1,V,17.2,V,54,V,989,V
02-01-2017,24:00,344,V,0.7,V,17,V,74,V,984,V
03-01-2017,24:00,206,V,0.5,V,17.5,V,74,V,987,V
04-01-2017,24:00,323,V,0.2,V,17.4,V,59,V,990,V
05-01-2017,24:00,329,V,0.2,V,17.2,V,53,V,988,V
06-01-2017,24:00,203,V,1.7,V,17.8,V,39,V,985,V
07-01-2017,24:00,203,V,3.1,V,19.7,V,25,V,986,V
08-01-2017,24:00,179,V,0.2,V,19.2,V,41,V,987,V
09-01-2017,24:00,161,V,0.1,V,17.5,V,70,V,991,V
10-01-2017,24:00,181,V,2.2,V,16,V,70,V,994,V
11-01-2017,24:00,144,V,2.7,V,16.6,V,66,V,991,V
12-01-2017,24:00,147,V,0.1,V,17,V,76,V,989,V
13-01-2017,24:00,198,V,0.7,V,17.6,V,55,V,990,V
14-01-2017,24:00,26,V,1.6,V,16.5,V,68,V,990,V
15-01-2017,24:00,53,V,1.1,V,16,V,63,V,989,V
16-01-2017,24:00,44,V,0.1,V,16.4,V,68,V,989,V
17-01-2017,24:00,133,V,0.5,V,16.3,V,72,V,989,V
18-01-2017,24:00,166,V,2.8,V,15.1,V,60,V,988,V
19-01-2017,24:00,154,V,1.9,V,15.5,V,64,V,989,V
20-01-2017,24:00,209,V,1.8,V,16.1,V,63,V,989,V
21-01-2017,24:00,342,V,2.7,V,16.1,V,71,V,990,V
22-01-2017,24:00,171,V,3.9,V,15.4,V,66,V,992,V
23-01-2017,24:00,16,V,4.2,V,15.8,V,69,V,993,V
24-01-2017,24:00,40,V,1.2,V,15.8,V,64,V,994,V
25-01-2017,24:00,148,V,0.6,V,15.8,V,63,V,991,V
26-01-2017,24:00,350,V,3.5,V,15.8,V,71,V,989,V
27-01-2017,24:00,6,V,0.6,V,16.3,V,71,V,992,V
28-01-2017,24:00,164,V,0.9,V,16.1,V,70,V,993,V
29-01-2017,24:00,155,V,1.5,V,16.2,V,61,V,993,V
30-01-2017,24:00,183,V,1.4,V,16.5,V,66,V,991,V
31-01-2017,24:00,2,V,3.1,V,16.4,V,68,V,989,V
01-02-2017,24:00,37,V,2.2,V,16.1,V,67,V,991,V
02-02-2017,24:00,11,V,2.1,V,17.4,V,67,V,993,V
03-02-2017,24:00,194,V,1.5,V,17.3,V,68,V,995,V
04-02-2017,24:00,348,V,2.7,V,16.7,V,66,V,994,V
05-02-2017,24:00,143,V,0.8,V,18,V,71,V,997,V
06-02-2017,24:00,173,V,3.9,V,17.5,V,66,V,995,V
07-02-2017,24:00,10,V,4.1,V,17.1,V,66,V,991,V
08-02-2017,24:00,8,V,1,V,16.3,V,68,V,992,V
09-02-2017,24:00,360,V,2.9,V,15.8,V,64,V,991,V
10-02-2017,24:00,197,V,1.7,V,15.6,V,68,V,987,V
11-02-2017,24:00,305,V,0.8,V,16.7,V,72,V,977,V
12-02-2017,24:00,214,V,2.6,V,16.1,V,70,V,973,V
13-02-2017,24:00,343,V,1.1,V,15.8,V,59,V,983,V
14-02-2017,24:00,337,V,0.7,V,15.7,V,69,V,986,V
15-02-2017,24:00,354,V,0.1,V,19,V,87,V,986,V
16-02-2017,24:00,358,V,4,V,16.6,V,73,V,988,V
