Fecha,Hora,Depósito Tristán-Sta Cruz de TF PM10 (µg/m³),Flag,"Depósito Tristán-Sta Cruz de TF PM2,5 (µg/m³)",Flag,Depósito Tristán-Sta Cruz de TF BEN (µg/m³),Flag,Depósito Tristán-Sta Cruz de TF TOL (µg/m³),Flag,Depósito Tristán-Sta Cruz de TF DD (Grd),Flag
01-01-2016,24:00,,N,,N,0.4,V,1.9,V,293,V
02-01-2016,24:00,,N,,N,0.2,V,1.6,V,290,V
03-01-2016,24:00,,N,,N,0.2,V,1.5,V,295,V
04-01-2016,24:00,,N,,N,0.2,V,3.3,V,312,V
05-01-2016,24:00,,N,,N,0.1,V,0.9,V,181,V
06-01-2016,24:00,,N,,N,0.1,V,0.4,V,42,V
07-01-2016,24:00,,N,,N,0.2,V,1,V,134,V
08-01-2016,24:00,,N,,N,0.2,V,1.5,V,182,V
09-01-2016,24:00,,N,,N,0.1,V,0.8,V,153,V
10-01-2016,24:00,,N,,N,0.1,V,1.3,V,180,V
11-01-2016,24:00,,N,,N,0.3,V,2.7,V,136,V
12-01-2016,24:00,,N,,N,0.3,V,2.8,V,90,V
13-01-2016,24:00,,N,,N,0.4,V,4.8,V,290,V
14-01-2016,24:00,,N,,N,0.6,V,7,V,292,V
15-01-2016,24:00,,N,,N,0.8,V,22.2,V,288,V
16-01-2016,24:00,,N,,N,0.4,V,2.9,V,89,V
17-01-2016,24:00,,N,,N,0.6,V,2.8,V,269,V
18-01-2016,24:00,,N,,N,0.2,V,1.4,V,244,V
19-01-2016,24:00,,N,,N,0.2,V,1.1,V,316,V
20-01-2016,24:00,,N,,N,1.7,V,2,V,90,V
21-01-2016,24:00,,N,,N,0.3,V,3.6,V,74,V
22-01-2016,24:00,,N,,N,0.2,V,0.6,V,93,V
23-01-2016,24:00,,N,,N,0.3,V,0.1,V,139,V
24-01-2016,24:00,,N,,N,0.2,V,0.1,V,203,V
25-01-2016,24:00,,N,,N,,N,,N,91,V
26-01-2016,24:00,30,V,12,V,,N,,N,96,V
27-01-2016,24:00,30,V,14,V,0.7,V,3.7,V,90,V
28-01-2016,24:00,13,V,6,V,0.5,V,2.5,V,90,V
29-01-2016,24:00,9,V,5,V,0.3,V,1,V,88,V
30-01-2016,24:00,15,V,8,V,0.2,V,0.1,V,89,V
31-01-2016,24:00,19,V,10,V,0.3,V,0.2,V,94,V
01-02-2016,24:00,28,V,15,V,0.5,V,4.6,V,95,V
02-02-2016,24:00,19,V,11,V,0.5,V,2.7,V,92,V
03-02-2016,24:00,18,V,10,V,0.5,V,5,V,89,V
04-02-2016,24:00,16,V,9,V,0.5,V,2.7,V,295,V
05-02-2016,24:00,15,V,8,V,0.4,V,1.9,V,111,V
06-02-2016,24:00,15,V,8,V,0.3,V,0.7,V,309,V
07-02-2016,24:00,20,V,11,V,0.4,V,1.4,V,89,V
08-02-2016,24:00,17,V,9,V,0.4,V,11.4,V,90,V
09-02-2016,24:00,12,V,6,V,0.3,V,1.3,V,295,V
10-02-2016,24:00,8,V,4,V,0.2,V,0.2,V,295,V
11-02-2016,24:00,7,V,3,V,0.2,V,0.5,V,68,V
12-02-2016,24:00,5,V,2,V,0.2,V,0.2,V,21,V
13-02-2016,24:00,6,V,3,V,0.2,V,0.4,V,157,V
14-02-2016,24:00,12,V,5,V,0.1,V,0.1,V,65,V
15-02-2016,24:00,15,V,7,V,0.2,V,0.2,V,24,V
16-02-2016,24:00,14,V,7,V,0.3,V,0.1,V,25,V
17-02-2016,24:00,11,V,5,V,0.3,V,0.1,V,43,V
18-02-2016,24:00,8,V,4,V,0.2,V,0.3,V,90,V
19-02-2016,24:00,8,V,3,V,0.3,V,0.2,V,88,V
20-02-2016,24:00,11,V,5,V,0.2,V,0.1,V,65,V
21-02-2016,24:00,13,V,6,V,0.2,V,0.3,V,252,V
22-02-2016,24:00,10,V,4,V,0.3,V,0.6,V,157,V
23-02-2016,24:00,15,V,6,V,0.2,V,0.4,V,48,V
24-02-2016,24:00,22,V,9,V,0.2,V,0.3,V,47,V
25-02-2016,24:00,18,V,6,V,0.1,V,0.2,V,66,V
26-02-2016,24:00,7,V,3,V,0.1,V,0.4,V,23,V
27-02-2016,24:00,6,V,3,V,0.2,V,0.1,V,43,V
28-02-2016,24:00,6,V,3,V,0.2,V,0.1,V,72,V
29-02-2016,24:00,8,V,3,V,0.2,V,0.2,V,28,V
01-03-2016,24:00,16,V,8,V,0.3,V,0.6,V,69,V
02-03-2016,24:00,50,V,17,V,0.5,V,2.5,V,93,V
03-03-2016,24:00,25,V,11,V,0.4,V,2.2,V,91,V
04-03-2016,24:00,11,V,4,V,0.2,V,0.6,V,27,V
05-03-2016,24:00,7,V,4,V,0.1,V,0.2,V,41,V
06-03-2016,24:00,6,V,3,V,0.1,V,0.1,V,23,V
07-03-2016,24:00,6,V,3,V,0.1,V,0.2,V,46,V
08-03-2016,24:00,8,V,4,V,0.1,V,0.3,V,43,V
09-03-2016,24:00,12,V,5,V,0.1,V,0.2,V,43,V
10-03-2016,24:00,12,V,5,V,0.1,V,0.2,V,43,V
11-03-2016,24:00,11,V,5,V,0.1,V,0.3,V,44,V
12-03-2016,24:00,13,V,6,V,0.1,V,0.2,V,93,V
13-03-2016,24:00,9,V,5,V,0.1,V,0.3,V,91,V
14-03-2016,24:00,9,V,4,V,0.2,V,0.6,V,137,V
15-03-2016,24:00,9,V,5,V,0.3,V,1.3,V,88,V
16-03-2016,24:00,15,V,7,V,0.1,V,1.1,V,131,V
17-03-2016,24:00,21,V,10,V,0.4,V,16.2,V,91,V
18-03-2016,24:00,17,V,7,V,0.2,V,1,V,109,V
19-03-2016,24:00,6,V,3,V,0.2,V,0.1,V,46,V
20-03-2016,24:00,5,V,2,V,0.2,V,0.1,V,91,V
21-03-2016,24:00,7,V,4,V,0.3,V,0.3,V,113,V
22-03-2016,24:00,8,V,4,V,0.3,V,0.2,V,137,V
23-03-2016,24:00,9,V,5,V,0.2,V,0.3,V,113,V
24-03-2016,24:00,9,V,4,V,0.2,V,0.1,V,44,V
25-03-2016,24:00,11,V,6,V,0.2,V,0.2,V,46,V
26-03-2016,24:00,10,V,6,V,0.3,V,0.4,V,90,V
27-03-2016,24:00,7,V,4,V,0.2,V,0.2,V,90,V
