Fecha,Hora,Depósito Tristán-Sta Cruz de TF SO2 (µg/m³),Flag,Depósito Tristán-Sta Cruz de TF NO2 (µg/m³),Flag,Depósito Tristán-Sta Cruz de TF NOX (µg/m³),Flag,Depósito Tristán-Sta Cruz de TF O3 (µg/m³),Flag,Depósito Tristán-Sta Cruz de TF CO (mg/m³),Flag
01-01-2016,24:00,9,V,35,V,39,V,50,V,0.6,V
02-01-2016,24:00,5,V,30,V,33,V,54,V,0.3,V
03-01-2016,24:00,8,V,31,V,35,V,53,V,0.6,V
04-01-2016,24:00,5,V,25,V,34,V,52,V,0.5,V
05-01-2016,24:00,3,V,26,V,32,V,51,V,0.4,V
06-01-2016,24:00,3,V,16,V,18,V,78,V,0.5,V
07-01-2016,24:00,6,V,28,V,33,V,69,V,0.4,V
08-01-2016,24:00,5,V,31,V,35,V,60,V,0.4,V
09-01-2016,24:00,6,V,24,V,26,V,64,V,0.5,V
10-01-2016,24:00,4,V,29,V,32,V,56,V,0.5,V
11-01-2016,24:00,4,V,42,V,64,V,46,V,0.6,V
12-01-2016,24:00,6,V,40,V,52,V,55,V,0.4,V
13-01-2016,24:00,9,V,52,V,72,V,37,V,0.6,V
14-01-2016,24:00,12,V,60,V,96,V,27,V,0.6,V
15-01-2016,24:00,10,V,66,V,111,V,21,V,0.5,V
16-01-2016,24:00,9,V,40,V,53,V,41,V,0.2,V
17-01-2016,24:00,5,V,36,V,41,V,58,V,0.2,V
18-01-2016,24:00,3,V,30,V,38,V,71,V,0.3,V
19-01-2016,24:00,5,V,25,V,31,V,73,V,0.3,V
20-01-2016,24:00,5,V,35,V,47,V,54,V,0.3,V
21-01-2016,24:00,3,V,35,V,45,V,46,V,0.4,V
22-01-2016,24:00,4,V,24,V,31,V,51,V,0.5,V
23-01-2016,24:00,9,V,26,V,29,V,58,V,0.5,V
24-01-2016,24:00,6,V,29,V,35,V,57,V,0.3,V
25-01-2016,24:00,,N,,N,,N,,N,,N
26-01-2016,24:00,,N,,N,,N,,N,,N
27-01-2016,24:00,7,V,44,V,61,V,52,V,1,V
28-01-2016,24:00,6,V,36,V,44,V,58,V,0.8,V
29-01-2016,24:00,7,V,26,V,32,V,73,V,0.6,V
30-01-2016,24:00,4,V,16,V,19,V,83,V,0.1,V
31-01-2016,24:00,6,V,14,V,15,V,88,V,0.2,V
01-02-2016,24:00,9,V,31,V,35,V,73,V,0.3,V
02-02-2016,24:00,8,V,32,V,35,V,60,V,0.3,V
03-02-2016,24:00,6,V,31,V,40,V,63,V,0.2,V
04-02-2016,24:00,5,V,31,V,46,V,55,V,0.2,V
05-02-2016,24:00,8,V,25,V,33,V,62,V,0.1,V
06-02-2016,24:00,5,V,19,V,23,V,62,V,0.1,V
07-02-2016,24:00,7,V,28,V,34,V,53,V,0.2,V
08-02-2016,24:00,5,V,31,V,38,V,48,V,0.4,V
09-02-2016,24:00,7,V,34,V,39,V,44,V,0.3,V
10-02-2016,24:00,5,V,21,V,25,V,62,V,0.2,V
11-02-2016,24:00,3,V,10,V,13,V,72,V,0.1,V
12-02-2016,24:00,4,V,12,V,15,V,64,V,0.1,V
13-02-2016,24:00,9,V,14,V,18,V,56,V,0.1,V
14-02-2016,24:00,7,V,10,V,11,V,65,V,0.1,V
15-02-2016,24:00,7,V,13,V,15,V,85,V,0.2,V
16-02-2016,24:00,5,V,15,V,18,V,89,V,0.2,V
17-02-2016,24:00,4,V,16,V,20,V,88,V,0.3,V
18-02-2016,24:00,3,V,16,V,19,V,81,V,0.4,V
19-02-2016,24:00,3,V,17,V,18,V,89,V,0.1,V
20-02-2016,24:00,3,V,13,V,13,V,89,V,0.1,V
21-02-2016,24:00,3,V,13,V,15,V,91,V,0.2,V
22-02-2016,24:00,3,V,23,V,26,V,72,V,0.2,V
23-02-2016,24:00,3,V,17,V,21,V,88,V,0.2,V
24-02-2016,24:00,3,V,18,V,21,V,93,V,0.2,V
25-02-2016,24:00,3,V,18,V,23,V,85,V,0.3,V
26-02-2016,24:00,5,V,14,V,16,V,87,V,0.2,V
27-02-2016,24:00,5,V,11,V,12,V,82,V,0.2,V
28-02-2016,24:00,3,V,10,V,10,V,77,V,0.2,V
29-02-2016,24:00,4,V,18,V,21,V,80,V,0.2,V
01-03-2016,24:00,5,V,31,V,36,V,85,V,0.3,V
02-03-2016,24:00,6,V,47,V,57,V,63,V,0.3,V
03-03-2016,24:00,5,V,35,V,42,V,68,V,0.3,V
04-03-2016,24:00,3,V,19,V,25,V,72,V,0.2,V
05-03-2016,24:00,5,V,12,V,13,V,87,V,0.2,V
06-03-2016,24:00,4,V,11,V,13,V,84,V,0.2,V
07-03-2016,24:00,5,V,14,V,19,V,86,V,0.2,V
08-03-2016,24:00,4,V,15,V,16,V,82,V,0.3,V
09-03-2016,24:00,4,V,24,V,28,V,,N,0.4,V
10-03-2016,24:00,4,V,28,V,31,V,,N,0.4,V
11-03-2016,24:00,3,V,25,V,28,V,,N,0.5,V
12-03-2016,24:00,3,V,23,V,24,V,,N,0.2,V
13-03-2016,24:00,4,V,23,V,24,V,,N,0.3,V
14-03-2016,24:00,3,V,36,V,39,V,,N,0.3,V
15-03-2016,24:00,2,V,47,V,50,V,,N,0.3,V
16-03-2016,24:00,2,V,50,V,54,V,,N,0.3,V
17-03-2016,24:00,2,V,56,V,65,V,,N,0.4,V
18-03-2016,24:00,4,V,52,V,57,V,,N,0.5,V
19-03-2016,24:00,4,V,36,V,38,V,,N,0.1,V
20-03-2016,24:00,5,V,30,V,32,V,,N,0.1,V
21-03-2016,24:00,4,V,32,V,34,V,,N,0.1,V
22-03-2016,24:00,4,V,24,V,26,V,,N,0.2,V
23-03-2016,24:00,6,V,15,V,18,V,83,V,0.2,V
24-03-2016,24:00,3,V,11,V,14,V,87,V,0.4,V
25-03-2016,24:00,5,V,16,V,18,V,95,V,0.3,V
26-03-2016,24:00,4,V,18,V,21,V,88,V,0.2,V
27-03-2016,24:00,4,V,15,V,18,V,84,V,0.2,V
28-03-2016,24:00,5,V,21,V,26,V,61,V,0.3,V
29-03-2016,24:00,4,V,29,V,39,V,68,V,0.5,V
30-03-2016,24:00,4,V,27,V,32,V,76,V,0.3,V
31-03-2016,24:00,4,V,17,V,20,V,86,V,0.2,V
01-04-2016,24:00,4,V,15,V,20,V,88,V,0.2,V
02-04-2016,24:00,,N,12,V,,N,,N,0.3,V
03-04-2016,24:00,,N,,N,,N,,N,,N
04-04-2016,24:00,,N,,N,,N,,N,,N
05-04-2016,24:00,,N,,N,,N,,N,,N
06-04-2016,24:00,,N,,N,,N,,N,,N
07-04-2016,24:00,,N,,N,,N,,N,,N
08-04-2016,24:00,3,V,15,V,16,V,93,V,0.3,V
09-04-2016,24:00,5,V,12,V,15,V,89,V,0.3,V
10-04-2016,24:00,5,V,12,V,14,V,83,V,0.5,V
11-04-2016,24:00,3,V,27,V,31,V,72,V,0.3,V
12-04-2016,24:00,5,V,33,V,42,V,68,V,0.5,V
13-04-2016,24:00,6,V,33,V,44,V,60,V,0.7,V
14-04-2016,24:00,4,V,33,V,46,V,57,V,0.6,V
15-04-2016,24:00,4,V,32,V,44,V,49,V,0.5,V
16-04-2016,24:00,5,V,26,V,30,V,49,V,0.3,V
17-04-2016,24:00,4,V,25,V,31,V,41,V,0.6,V
18-04-2016,24:00,3,V,19,V,27,V,61,V,0.5,V
19-04-2016,24:00,,N,22,V,29,V,80,V,0.5,V
20-04-2016,24:00,,N,27,V,33,V,79,V,0.9,V
21-04-2016,24:00,6,V,31,V,39,V,73,V,0.9,V
22-04-2016,24:00,9,V,33,V,45,V,51,V,0.7,V
23-04-2016,24:00,5,V,12,V,14,V,67,V,0.5,V
24-04-2016,24:00,4,V,10,V,12,V,82,V,0.7,V
25-04-2016,24:00,5,V,13,V,16,V,80,V,0.5,V
26-04-2016,24:00,4,V,14,V,18,V,82,V,0.6,V
27-04-2016,24:00,6,V,15,V,19,V,81,V,0.7,V
28-04-2016,24:00,6,V,21,V,27,V,55,V,0.7,V
29-04-2016,24:00,6,V,20,V,26,V,53,V,0.6,V
30-04-2016,24:00,5,V,12,V,15,V,69,V,0.6,V
01-05-2016,24:00,5,V,10,V,14,V,88,V,0.7,V
02-05-2016,24:00,6,V,12,V,13,V,97,V,0.7,V
03-05-2016,24:00,4,V,15,V,17,V,90,V,0.6,V
04-05-2016,24:00,4,V,21,V,23,V,81,V,0.6,V
05-05-2016,24:00,4,V,17,V,21,V,85,V,0.5,V
06-05-2016,24:00,4,V,16,V,19,V,86,V,0.2,V
07-05-2016,24:00,5,V,13,V,15,V,75,V,0.3,V
08-05-2016,24:00,5,V,13,V,15,V,63,V,0.3,V
09-05-2016,24:00,4,V,22,V,27,V,74,V,0.3,V
10-05-2016,24:00,4,V,23,V,28,V,81,V,0.3,V
11-05-2016,24:00,6,V,21,V,27,V,83,V,0.3,V
12-05-2016,24:00,5,V,23,V,29,V,70,V,0.4,V
13-05-2016,24:00,4,V,16,V,20,V,77,V,0.3,V
14-05-2016,24:00,4,V,11,V,12,V,86,V,0.3,V
15-05-2016,24:00,3,V,9,V,11,V,93,V,0.3,V
16-05-2016,24:00,3,V,12,V,16,V,108,V,0.2,V
17-05-2016,24:00,4,V,10,V,13,V,110,V,0.2,V
18-05-2016,24:00,6,V,10,V,12,V,71,V,0.2,V
19-05-2016,24:00,4,V,16,V,22,V,80,V,0.3,V
20-05-2016,24:00,4,V,12,V,15,V,85,V,0.3,V
21-05-2016,24:00,4,V,8,V,11,V,59,V,0.2,V
22-05-2016,24:00,4,V,8,V,10,V,57,V,0.3,V
23-05-2016,24:00,4,V,13,V,16,V,55,V,0.3,V
24-05-2016,24:00,3,V,10,V,13,V,40,V,0.2,V
25-05-2016,24:00,6,V,16,V,20,V,71,V,0.4,V
26-05-2016,24:00,9,V,26,V,29,V,62,V,0.4,V
27-05-2016,24:00,9,V,,N,,N,67,V,0.3,V
28-05-2016,24:00,9,V,,N,,N,76,V,0.4,V
29-05-2016,24:00,2,V,,N,,N,82,V,0.3,V
30-05-2016,24:00,2,V,,N,,N,84,V,0.3,V
31-05-2016,24:00,7,V,,N,,N,75,V,0.3,V
01-06-2016,24:00,20,V,25,V,33,V,55,V,0.4,V
02-06-2016,24:00,12,V,15,V,18,V,66,V,0.3,V
03-06-2016,24:00,6,V,16,V,19,V,55,V,0.3,V
04-06-2016,24:00,6,V,13,V,15,V,58,V,0.2,V
05-06-2016,24:00,7,V,11,V,14,V,56,V,0.2,V
06-06-2016,24:00,6,V,22,V,30,V,43,V,0.4,V
07-06-2016,24:00,5,V,25,V,37,V,43,V,0.2,V
08-06-2016,24:00,7,V,28,V,45,V,41,V,0.3,V
09-06-2016,24:00,3,V,13,V,18,V,41,V,0.4,V
10-06-2016,24:00,4,V,10,V,14,V,36,V,0.3,V
11-06-2016,24:00,5,V,8,V,10,V,75,V,0.3,V
12-06-2016,24:00,7,V,8,V,10,V,61,V,0.3,V
13-06-2016,24:00,5,V,11,V,14,V,59,V,0.3,V
14-06-2016,24:00,5,V,10,V,14,V,32,V,0.3,V
15-06-2016,24:00,5,V,8,V,12,V,21,V,0.3,V
16-06-2016,24:00,5,V,11,V,17,V,56,V,0.4,V
17-06-2016,24:00,6,V,12,V,17,V,55,V,0.3,V
18-06-2016,24:00,5,V,9,V,11,V,63,V,0.4,V
19-06-2016,24:00,6,V,13,V,17,V,60,V,0.4,V
20-06-2016,24:00,3,V,12,V,16,V,60,V,0.4,V
21-06-2016,24:00,7,V,21,V,28,V,54,V,0.5,V
22-06-2016,24:00,9,V,18,V,24,V,52,V,0.4,V
23-06-2016,24:00,5,V,29,V,39,V,39,V,0.5,V
24-06-2016,24:00,9,V,45,V,80,V,15,V,0.7,V
25-06-2016,24:00,4,V,20,V,25,V,36,V,0.5,V
26-06-2016,24:00,5,V,7,V,9,V,65,V,0.5,V
27-06-2016,24:00,5,V,7,V,10,V,63,V,0.3,V
28-06-2016,24:00,,N,,N,,N,,N,,N
29-06-2016,24:00,,N,,N,,N,,N,,N
30-06-2016,24:00,10,V,9,V,13,V,51,V,0.3,V
01-07-2016,24:00,4,V,9,V,12,V,56,V,0.3,V
02-07-2016,24:00,4,V,7,V,9,V,55,V,0.3,V
03-07-2016,24:00,10,V,7,V,8,V,50,V,0.3,V
04-07-2016,24:00,10,V,9,V,12,V,44,V,0.3,V
05-07-2016,24:00,4,V,8,V,11,V,35,V,0.4,V
06-07-2016,24:00,3,V,6,V,10,V,37,V,0.4,V
07-07-2016,24:00,3,V,8,V,10,V,53,V,0.4,V
08-07-2016,24:00,3,V,8,V,11,V,55,V,0.5,V
09-07-2016,24:00,3,V,11,V,13,V,76,V,0.6,V
10-07-2016,24:00,9,V,8,V,10,V,54,V,0.6,V
11-07-2016,24:00,17,V,7,V,10,V,25,V,0.2,V
12-07-2016,24:00,11,V,10,V,13,V,45,V,0.2,V
13-07-2016,24:00,6,V,17,V,22,V,55,V,0.2,V
14-07-2016,24:00,4,V,17,V,21,V,66,V,0.3,V
15-07-2016,24:00,7,V,19,V,23,V,81,V,0.1,V
16-07-2016,24:00,10,V,12,V,14,V,91,V,0.1,V
17-07-2016,24:00,7,V,12,V,14,V,84,V,0.1,V
18-07-2016,24:00,11,V,15,V,18,V,82,V,0.1,V
19-07-2016,24:00,10,V,11,V,14,V,69,V,0.1,V
20-07-2016,24:00,2,V,27,V,36,V,39,V,0.3,V
21-07-2016,24:00,15,V,42,V,55,V,33,V,0.2,V
22-07-2016,24:00,11,V,36,V,46,V,44,V,0.1,V
23-07-2016,24:00,4,V,12,V,13,V,53,V,0.1,V
24-07-2016,24:00,3,V,14,V,16,V,64,V,0.1,V
25-07-2016,24:00,6,V,71,V,100,V,43,V,0.3,V
26-07-2016,24:00,6,V,55,V,66,V,38,V,0.3,V
27-07-2016,24:00,11,V,43,V,57,V,39,V,0.2,V
28-07-2016,24:00,4,V,12,V,16,V,55,V,0.1,V
29-07-2016,24:00,4,V,11,V,16,V,41,V,0.1,V
30-07-2016,24:00,4,V,9,V,11,V,42,V,0.2,V
31-07-2016,24:00,4,V,9,V,13,V,47,V,0.2,V
01-08-2016,24:00,,N,,N,,N,,N,,N
02-08-2016,24:00,,N,,N,,N,,N,,N
03-08-2016,24:00,6,V,8,V,11,V,50,V,0.1,V
04-08-2016,24:00,8,V,26,V,33,V,40,V,0.1,V
05-08-2016,24:00,9,V,27,V,35,V,38,V,0.2,V
06-08-2016,24:00,10,V,27,V,33,V,39,V,0.2,V
07-08-2016,24:00,6,V,9,V,10,V,67,V,0.1,V
08-08-2016,24:00,4,V,17,V,23,V,66,V,0.2,V
09-08-2016,24:00,7,V,44,V,62,V,39,V,0.4,V
10-08-2016,24:00,8,V,42,V,50,V,60,V,0.4,V
11-08-2016,24:00,9,V,37,V,48,V,52,V,0.4,V
12-08-2016,24:00,8,V,31,V,40,V,64,V,0.4,V
13-08-2016,24:00,4,V,10,V,13,V,79,V,0.4,V
14-08-2016,24:00,3,V,8,V,10,V,89,V,0.4,V
15-08-2016,24:00,4,V,8,V,10,V,79,V,0.3,V
16-08-2016,24:00,4,V,13,V,16,V,63,V,0.4,V
17-08-2016,24:00,5,V,25,V,29,V,51,V,0.4,V
18-08-2016,24:00,6,V,28,V,35,V,31,V,0.3,V
19-08-2016,24:00,4,V,18,V,27,V,28,V,0.3,V
20-08-2016,24:00,4,V,14,V,19,V,22,V,0.3,V
21-08-2016,24:00,5,V,15,V,18,V,33,V,0.3,V
22-08-2016,24:00,6,V,32,V,42,V,31,V,0.3,V
23-08-2016,24:00,8,V,32,V,44,V,38,V,0.4,V
