Fecha,Hora,Depósito Tristán-Sta Cruz de TF VV (m/s),Flag,Depósito Tristán-Sta Cruz de TF DD (Grd),Flag,Depósito Tristán-Sta Cruz de TF TMP (ºC),Flag,Depósito Tristán-Sta Cruz de TF HR (%),Flag,Depósito Tristán-Sta Cruz de TF PRB (mb),Flag
01-01-2015,24:00,1.5,V,112,V,17,V,,N,994,V
02-01-2015,24:00,2.2,V,111,V,16.2,V,,N,999,V
03-01-2015,24:00,1.9,V,135,V,15.8,V,,N,999,V
04-01-2015,24:00,2.1,V,132,V,16,V,,N,997,V
05-01-2015,24:00,1.5,V,89,V,15.6,V,,N,996,V
06-01-2015,24:00,1.5,V,44,V,15.6,V,,N,996,V
07-01-2015,24:00,2,V,42,V,15.7,V,,N,996,V
08-01-2015,24:00,1.5,V,48,V,16,V,,N,998,V
09-01-2015,24:00,1.5,V,91,V,15.7,V,,N,999,V
10-01-2015,24:00,1.2,V,111,V,16.6,V,,N,997,V
11-01-2015,24:00,0.9,V,113,V,17.3,V,,N,994,V
12-01-2015,24:00,1.2,V,93,V,17.2,V,,N,991,V
13-01-2015,24:00,1.6,V,319,V,16.6,V,,N,991,V
14-01-2015,24:00,3.4,V,26,V,15.9,V,,N,993,V
15-01-2015,24:00,2,V,314,V,16.1,V,,N,993,V
16-01-2015,24:00,2,V,90,V,15.6,V,,N,994,V
17-01-2015,24:00,2.7,V,45,V,15,V,,N,997,V
18-01-2015,24:00,3.8,V,25,V,15.6,V,,N,994,V
19-01-2015,24:00,5,V,26,V,15.4,V,,N,991,V
20-01-2015,24:00,4.3,V,27,V,14.7,V,,N,987,V
21-01-2015,24:00,2.5,V,43,V,15,V,,N,992,V
22-01-2015,24:00,2.6,V,43,V,15.1,V,,N,993,V
23-01-2015,24:00,2,V,43,V,15.2,V,,N,994,V
24-01-2015,24:00,2.6,V,40,V,15.7,V,,N,993,V
25-01-2015,24:00,2.6,V,41,V,15.7,V,,N,992,V
26-01-2015,24:00,1.5,V,110,V,15.7,V,,N,994,V
27-01-2015,24:00,2.2,V,44,V,15.3,V,,N,997,V
28-01-2015,24:00,2.5,V,29,V,15.4,V,,N,995,V
29-01-2015,24:00,2.9,V,27,V,15.3,V,,N,990,V
30-01-2015,24:00,2.9,V,47,V,16.2,V,,N,992,V
31-01-2015,24:00,4.3,V,29,V,15.7,V,,N,990,V
01-02-2015,24:00,2.3,V,45,V,15.6,V,,N,990,V
02-02-2015,24:00,2.1,V,45,V,14.4,V,,N,988,V
03-02-2015,24:00,2.6,V,26,V,14.4,V,,N,988,V
04-02-2015,24:00,2.2,V,65,V,14.6,V,,N,989,V
05-02-2015,24:00,1.2,V,67,V,15,V,,N,989,V
06-02-2015,24:00,1.8,V,45,V,14.5,V,,N,988,V
07-02-2015,24:00,1.1,V,69,V,14.1,V,,N,986,V
08-02-2015,24:00,0.6,V,318,V,12.8,V,,N,985,V
09-02-2015,24:00,1.6,V,316,V,13.9,V,,N,984,V
10-02-2015,24:00,1.9,V,198,V,14.9,V,,N,984,V
11-02-2015,24:00,3.1,V,25,V,15.2,V,,N,986,V
12-02-2015,24:00,3.1,V,39,V,15,V,,N,990,V
13-02-2015,24:00,3.2,V,25,V,15.2,V,,N,995,V
14-02-2015,24:00,2.5,V,26,V,15.5,V,,N,996,V
15-02-2015,24:00,2.2,V,109,V,15.5,V,,N,995,V
16-02-2015,24:00,5.2,V,24,V,15.6,V,,N,993,V
17-02-2015,24:00,2.8,V,42,V,15.3,V,,N,993,V
18-02-2015,24:00,4.7,V,40,V,14.8,V,,N,991,V
19-02-2015,24:00,4.4,V,28,V,15,V,,N,990,V
20-02-2015,24:00,5.2,V,26,V,15.3,V,,N,992,V
21-02-2015,24:00,4.5,V,29,V,15.2,V,,N,992,V
22-02-2015,24:00,3.2,V,40,V,15.6,V,,N,992,V
23-02-2015,24:00,2.5,V,45,V,15.9,V,,N,993,V
24-02-2015,24:00,2.7,V,43,V,15.6,V,,N,995,V
25-02-2015,24:00,1.8,V,44,V,16.2,V,,N,996,V
26-02-2015,24:00,2.2,V,71,V,15.8,V,,N,994,V
27-02-2015,24:00,2.1,V,44,V,15.8,V,,N,997,V
28-02-2015,24:00,4,V,40,V,16.3,V,,N,996,V
01-03-2015,24:00,3.4,V,27,V,15.6,V,,N,996,V
02-03-2015,24:00,1.9,V,93,V,14.8,V,,N,994,V
03-03-2015,24:00,1.5,V,109,V,15.7,V,,N,992,V
04-03-2015,24:00,1.4,V,109,V,16,V,,N,991,V
05-03-2015,24:00,0.4,V,229,V,17.8,V,,N,987,V
06-03-2015,24:00,5.1,V,320,V,17.8,V,,N,987,V
07-03-2015,24:00,2.5,V,204,V,20.4,V,,N,987,V
08-03-2015,24:00,0.9,V,111,V,19.7,V,,N,989,V
09-03-2015,24:00,1.3,V,111,V,17.2,V,,N,989,V
10-03-2015,24:00,1,V,180,V,17.8,V,,N,990,V
11-03-2015,24:00,1,V,179,V,17.4,V,,N,994,V
12-03-2015,24:00,1.7,V,96,V,17.8,V,,N,992,V
13-03-2015,24:00,3,V,42,V,16,V,58,V,992,V
14-03-2015,24:00,3.5,V,28,V,15.7,V,60,V,991,V
15-03-2015,24:00,2.1,V,131,V,16.9,V,50,V,988,V
16-03-2015,24:00,0.9,V,293,V,15.9,V,42,V,988,V
17-03-2015,24:00,5.3,V,26,V,15.3,V,65,V,990,V
18-03-2015,24:00,4.1,V,43,V,14,V,69,V,989,V
19-03-2015,24:00,3.2,V,89,V,14.6,V,70,V,986,V
20-03-2015,24:00,3.7,V,86,V,14.5,V,70,V,982,V
21-03-2015,24:00,2.3,V,222,V,14.9,V,68,V,982,V
22-03-2015,24:00,2.5,V,246,V,14.2,V,72,V,981,V
23-03-2015,24:00,5.2,V,27,V,14.2,V,73,V,984,V
24-03-2015,24:00,4.2,V,41,V,14.8,V,62,V,988,V
25-03-2015,24:00,4.2,V,42,V,14.4,V,63,V,990,V
26-03-2015,24:00,2.7,V,43,V,14.9,V,64,V,992,V
27-03-2015,24:00,1.6,V,47,V,16.1,V,67,V,994,V
28-03-2015,24:00,2.9,V,27,V,16.1,V,74,V,994,V
29-03-2015,24:00,1.3,V,105,V,16.7,V,77,V,995,V
30-03-2015,24:00,1.1,V,118,V,17.9,V,69,V,995,V
31-03-2015,24:00,1,V,130,V,16.7,V,64,V,993,V
01-04-2015,24:00,1.3,V,134,V,15.8,V,78,V,991,V
02-04-2015,24:00,0.5,V,172,V,16.8,V,75,V,988,V
03-04-2015,24:00,2.3,V,179,V,16.6,V,71,V,984,V
04-04-2015,24:00,3.5,V,268,V,16.2,V,65,V,984,V
05-04-2015,24:00,3.2,V,151,V,16.6,V,65,V,984,V
06-04-2015,24:00,1.7,V,224,V,15.9,V,69,V,984,V
07-04-2015,24:00,1.5,V,138,V,15.5,V,71,V,983,V
08-04-2015,24:00,2.2,V,201,V,16,V,69,V,987,V
09-04-2015,24:00,1.8,V,133,V,16.6,V,67,V,990,V
10-04-2015,24:00,3.4,V,44,V,16.7,V,62,V,990,V
11-04-2015,24:00,1.4,V,46,V,16.4,V,65,V,990,V
12-04-2015,24:00,2.3,V,115,V,16.3,V,63,V,987,V
13-04-2015,24:00,1.7,V,182,V,16.1,V,70,V,985,V
14-04-2015,24:00,4.1,V,155,V,16.1,V,69,V,987,V
15-04-2015,24:00,3.8,V,26,V,16.8,V,62,V,987,V
16-04-2015,24:00,3.1,V,40,V,17.3,V,60,V,988,V
17-04-2015,24:00,2,V,43,V,17,V,61,V,987,V
18-04-2015,24:00,3.3,V,46,V,17,V,59,V,988,V
19-04-2015,24:00,3.5,V,45,V,16.5,V,60,V,988,V
20-04-2015,24:00,3.4,V,43,V,16.8,V,59,V,987,V
21-04-2015,24:00,3.3,V,29,V,16.9,V,59,V,988,V
22-04-2015,24:00,1.5,V,110,V,16.1,V,63,V,989,V
23-04-2015,24:00,1.4,V,184,V,16.3,V,65,V,989,V
24-04-2015,24:00,1.1,V,157,V,17.3,V,68,V,989,V
25-04-2015,24:00,1.3,V,178,V,17.7,V,81,V,989,V
26-04-2015,24:00,1.1,V,139,V,19,V,63,V,988,V
27-04-2015,24:00,2.3,V,111,V,18.5,V,70,V,989,V
28-04-2015,24:00,1.9,V,104,V,17,V,65,V,989,V
29-04-2015,24:00,1.8,V,112,V,16.8,V,73,V,989,V
30-04-2015,24:00,1.1,V,110,V,17.4,V,74,V,989,V
01-05-2015,24:00,2.1,V,198,V,18.6,V,69,V,987,V
02-05-2015,24:00,0.9,V,137,V,21.2,V,50,V,985,V
03-05-2015,24:00,1.3,V,162,V,20.8,V,47,V,985,V
04-05-2015,24:00,1.2,V,137,V,19.3,V,76,V,984,V
05-05-2015,24:00,1.8,V,110,V,19.2,V,71,V,986,V
06-05-2015,24:00,0.9,V,137,V,18.2,V,76,V,986,V
07-05-2015,24:00,1.7,V,160,V,19.9,V,69,V,985,V
08-05-2015,24:00,3.1,V,69,V,20,V,63,V,990,V
09-05-2015,24:00,2.4,V,94,V,18.8,V,70,V,989,V
10-05-2015,24:00,1.9,V,181,V,19.1,V,69,V,987,V
11-05-2015,24:00,1.1,V,114,V,21.3,V,66,V,985,V
12-05-2015,24:00,1.9,V,177,V,27.1,V,28,V,982,V
13-05-2015,24:00,0.8,V,93,V,28.5,V,33,V,984,V
14-05-2015,24:00,1.2,V,176,V,26.4,V,37,V,985,V
15-05-2015,24:00,0.6,V,181,V,23.5,V,48,V,986,V
16-05-2015,24:00,1.3,V,176,V,21.1,V,62,V,988,V
17-05-2015,24:00,3.2,V,179,V,21.5,V,55,V,987,V
18-05-2015,24:00,6.9,V,26,V,18.7,V,68,V,986,V
19-05-2015,24:00,6,V,44,V,18.7,V,67,V,987,V
20-05-2015,24:00,6.9,V,26,V,17.8,V,61,V,990,V
21-05-2015,24:00,7.3,V,23,V,17.8,V,62,V,991,V
22-05-2015,24:00,7,V,23,V,17.8,V,62,V,990,V
23-05-2015,24:00,5.3,V,44,V,17.4,V,61,V,989,V
24-05-2015,24:00,5.2,V,46,V,18.1,V,60,V,988,V
25-05-2015,24:00,3.1,V,42,V,18.3,V,60,V,988,V
26-05-2015,24:00,3.5,V,91,V,18.6,V,63,V,988,V
27-05-2015,24:00,3.5,V,44,V,18.5,V,64,V,987,V
28-05-2015,24:00,4.2,V,136,V,19,V,65,V,987,V
29-05-2015,24:00,2.9,V,111,V,19.4,V,67,V,987,V
30-05-2015,24:00,2.8,V,115,V,19.2,V,66,V,988,V
31-05-2015,24:00,5.2,V,135,V,19.4,V,64,V,989,V
01-06-2015,24:00,5.6,V,62,V,18.4,V,65,V,990,V
02-06-2015,24:00,5.3,V,44,V,18.5,V,72,V,987,V
03-06-2015,24:00,6,V,24,V,19.6,V,67,V,986,V
04-06-2015,24:00,5.1,V,331,V,19.8,V,68,V,986,V
05-06-2015,24:00,5.3,V,42,V,18.6,V,74,V,984,V
06-06-2015,24:00,3.2,V,131,V,19.5,V,73,V,983,V
07-06-2015,24:00,4.8,V,66,V,19.8,V,73,V,986,V
08-06-2015,24:00,2.9,V,293,V,19.6,V,70,V,987,V
09-06-2015,24:00,1.4,V,138,V,18.7,V,71,V,987,V
10-06-2015,24:00,2,V,116,V,18.8,V,65,V,987,V
11-06-2015,24:00,0.8,V,161,V,18.9,V,69,V,987,V
12-06-2015,24:00,1,V,155,V,19.5,V,69,V,987,V
13-06-2015,24:00,2,V,184,V,19.9,V,73,V,988,V
14-06-2015,24:00,3.6,V,109,V,19.6,V,61,V,989,V
15-06-2015,24:00,3,V,43,V,19.7,V,59,V,991,V
16-06-2015,24:00,3.1,V,44,V,19.7,V,62,V,990,V
17-06-2015,24:00,3.8,V,92,V,19.7,V,61,V,989,V
18-06-2015,24:00,4.1,V,199,V,20.2,V,65,V,987,V
19-06-2015,24:00,4.1,V,316,V,20.7,V,64,V,987,V
20-06-2015,24:00,1.9,V,180,V,21.2,V,63,V,988,V
21-06-2015,24:00,2.7,V,179,V,20.5,V,70,V,988,V
22-06-2015,24:00,4.5,V,182,V,20.3,V,66,V,989,V
23-06-2015,24:00,3.4,V,89,V,20.6,V,64,V,990,V
24-06-2015,24:00,4.6,V,138,V,21.1,V,62,V,990,V
25-06-2015,24:00,4.2,V,64,V,21,V,63,V,991,V
26-06-2015,24:00,6.1,V,111,V,21.2,V,66,V,990,V
27-06-2015,24:00,4.8,V,322,V,21.3,V,63,V,988,V
28-06-2015,24:00,4.2,V,315,V,23.6,V,57,V,988,V
29-06-2015,24:00,1.7,V,162,V,23.4,V,61,V,987,V
30-06-2015,24:00,3.1,V,244,V,21.8,V,68,V,986,V
01-07-2015,24:00,5.2,V,204,V,22,V,63,V,987,V
02-07-2015,24:00,2.2,V,49,V,21.8,V,70,V,988,V
03-07-2015,24:00,3,V,132,V,21.2,V,64,V,989,V
04-07-2015,24:00,5.1,V,223,V,21,V,62,V,989,V
05-07-2015,24:00,4.2,V,132,V,22.4,V,63,V,986,V
06-07-2015,24:00,5.7,V,316,V,22.4,V,73,V,983,V
07-07-2015,24:00,1.7,V,182,V,26,V,57,V,983,V
08-07-2015,24:00,1.8,V,180,V,27,V,51,V,985,V
09-07-2015,24:00,0.5,V,138,V,26.5,V,41,V,987,V
10-07-2015,24:00,0.6,V,133,V,26.9,V,37,V,989,V
11-07-2015,24:00,4.5,V,248,V,23.9,V,56,V,988,V
12-07-2015,24:00,6.4,V,317,V,23.2,V,61,V,988,V
13-07-2015,24:00,4.9,V,222,V,23.3,V,61,V,985,V
14-07-2015,24:00,3.8,V,315,V,27.3,V,36,V,985,V
15-07-2015,24:00,3.8,V,224,V,28.9,V,25,V,984,V
16-07-2015,24:00,5.1,V,243,V,26,V,44,V,984,V
17-07-2015,24:00,0.6,V,115,V,25.3,V,51,V,985,V
18-07-2015,24:00,1.1,V,108,V,23.5,V,64,V,989,V
19-07-2015,24:00,5.4,V,108,V,22.5,V,69,V,988,V
20-07-2015,24:00,7.5,V,206,V,22.7,V,71,V,985,V
21-07-2015,24:00,7.5,V,226,V,22.8,V,71,V,983,V
22-07-2015,24:00,6.9,V,297,V,23.6,V,71,V,985,V
23-07-2015,24:00,5.5,V,316,V,25.7,V,58,V,986,V
24-07-2015,24:00,5.5,V,185,V,24.9,V,54,V,987,V
25-07-2015,24:00,3.2,V,48,V,23.8,V,65,V,987,V
26-07-2015,24:00,5.5,V,175,V,22.8,V,65,V,987,V
27-07-2015,24:00,4.7,V,173,V,22.9,V,62,V,986,V
28-07-2015,24:00,5,V,244,V,23.6,V,63,V,985,V
29-07-2015,24:00,4.2,V,159,V,23.2,V,68,V,986,V
30-07-2015,24:00,5.7,V,26,V,22.7,V,66,V,985,V
31-07-2015,24:00,3.5,V,62,V,23,V,69,V,985,V
