Fecha,Hora,Depósito Tristán-Sta Cruz de TF SO2 (µg/m³),Flag,Depósito Tristán-Sta Cruz de TF NO2 (µg/m³),Flag,Depósito Tristán-Sta Cruz de TF NOX (µg/m³),Flag,Depósito Tristán-Sta Cruz de TF PM10 (µg/m³),Flag,"Depósito Tristán-Sta Cruz de TF PM2,5 (µg/m³)",Flag
01-01-2015,24:00,7,V,13,V,17,V,76,V,21,V
02-01-2015,24:00,8,V,19,V,22,V,18,V,6,V
03-01-2015,24:00,9,V,14,V,16,V,29,V,10,V
04-01-2015,24:00,7,V,15,V,18,V,90,V,29,V
05-01-2015,24:00,4,V,25,V,29,V,46,V,12,V
06-01-2015,24:00,4,V,12,V,15,V,9,V,4,V
07-01-2015,24:00,4,V,17,V,23,V,8,V,3,V
08-01-2015,24:00,4,V,17,V,22,V,9,V,4,V
09-01-2015,24:00,5,V,21,V,28,V,10,V,5,V
10-01-2015,24:00,4,V,17,V,20,V,104,V,31,V
11-01-2015,24:00,4,V,17,V,20,V,59,V,18,V
12-01-2015,24:00,3,V,24,V,30,V,19,V,8,V
13-01-2015,24:00,3,V,27,V,41,V,39,V,14,V
14-01-2015,24:00,3,V,17,V,24,V,10,V,3,V
15-01-2015,24:00,3,V,22,V,32,V,13,V,5,V
16-01-2015,24:00,4,V,14,V,20,V,10,V,4,V
17-01-2015,24:00,3,V,9,V,11,V,7,V,4,V
18-01-2015,24:00,4,V,8,V,10,V,5,V,3,V
19-01-2015,24:00,3,V,10,V,13,V,5,V,3,V
20-01-2015,24:00,3,V,11,V,15,V,5,V,2,V
21-01-2015,24:00,4,V,15,V,20,V,5,V,2,V
22-01-2015,24:00,4,V,15,V,20,V,5,V,2,V
23-01-2015,24:00,4,V,17,V,25,V,3,V,1,V
24-01-2015,24:00,4,V,9,V,12,V,4,V,2,V
25-01-2015,24:00,3,V,9,V,11,V,5,V,3,V
26-01-2015,24:00,4,V,25,V,32,V,8,V,4,V
27-01-2015,24:00,4,V,24,V,31,V,7,V,4,V
28-01-2015,24:00,3,V,15,V,22,V,5,V,3,V
29-01-2015,24:00,4,V,16,V,21,V,5,V,2,V
30-01-2015,24:00,4,V,11,V,14,V,3,V,1,V
31-01-2015,24:00,3,V,8,V,9,V,3,V,2,V
01-02-2015,24:00,3,V,9,V,11,V,5,V,3,V
02-02-2015,24:00,3,V,9,V,11,V,5,V,2,V
03-02-2015,24:00,,N,,N,,N,,N,,N
04-02-2015,24:00,,N,,N,,N,,N,,N
05-02-2015,24:00,4,V,17,V,22,V,4,V,2,V
06-02-2015,24:00,3,V,17,V,23,V,5,V,2,V
07-02-2015,24:00,4,V,16,V,19,V,4,V,2,V
08-02-2015,24:00,4,V,23,V,25,V,4,V,2,V
09-02-2015,24:00,4,V,36,V,54,V,6,V,3,V
10-02-2015,24:00,4,V,39,V,49,V,8,V,4,V
11-02-2015,24:00,4,V,20,V,26,V,4,V,2,V
12-02-2015,24:00,3,V,18,V,25,V,4,V,2,V
13-02-2015,24:00,4,V,12,V,16,V,5,V,3,V
14-02-2015,24:00,4,V,13,V,16,V,5,V,3,V
15-02-2015,24:00,3,V,16,V,19,V,4,V,2,V
16-02-2015,24:00,4,V,12,V,15,V,4,V,2,V
17-02-2015,24:00,3,V,9,V,11,V,5,V,2,V
18-02-2015,24:00,3,V,11,V,13,V,6,V,3,V
19-02-2015,24:00,3,V,11,V,12,V,5,V,3,V
20-02-2015,24:00,3,V,11,V,13,V,6,V,4,V
21-02-2015,24:00,3,V,10,V,13,V,4,V,2,V
22-02-2015,24:00,3,V,9,V,10,V,4,V,2,V
23-02-2015,24:00,4,V,13,V,19,V,3,V,1,V
24-02-2015,24:00,4,V,12,V,17,V,5,V,2,V
25-02-2015,24:00,4,V,20,V,26,V,10,V,6,V
26-02-2015,24:00,3,V,21,V,28,V,12,V,6,V
27-02-2015,24:00,3,V,12,V,19,V,6,V,3,V
28-02-2015,24:00,3,V,9,V,10,V,5,V,3,V
01-03-2015,24:00,4,V,8,V,10,V,6,V,4,V
02-03-2015,24:00,3,V,22,V,33,V,8,V,4,V
03-03-2015,24:00,3,V,21,V,27,V,9,V,5,V
04-03-2015,24:00,3,V,21,V,29,V,14,V,8,V
05-03-2015,24:00,5,V,42,V,71,V,17,V,9,V
06-03-2015,24:00,4,V,25,V,34,V,12,V,6,V
07-03-2015,24:00,6,V,33,V,41,V,104,V,34,V
08-03-2015,24:00,6,V,22,V,25,V,83,V,23,V
09-03-2015,24:00,4,V,31,V,38,V,11,V,5,V
10-03-2015,24:00,7,V,42,V,53,V,15,V,6,V
11-03-2015,24:00,8,V,43,V,61,V,14,V,7,V
12-03-2015,24:00,5,V,31,V,40,V,9,V,5,V
13-03-2015,24:00,3,V,12,V,17,V,23,V,10,V
14-03-2015,24:00,4,V,8,V,9,V,7,V,4,V
15-03-2015,24:00,5,V,24,V,25,V,10,V,5,V
16-03-2015,24:00,,N,,N,,N,8,V,3,V
17-03-2015,24:00,,N,,N,,N,5,V,3,V
18-03-2015,24:00,4,V,11,V,15,V,4,V,2,V
19-03-2015,24:00,3,V,13,V,17,V,7,V,4,V
20-03-2015,24:00,3,V,14,V,18,V,9,V,5,V
21-03-2015,24:00,3,V,13,V,15,V,8,V,5,V
22-03-2015,24:00,3,V,10,V,11,V,6,V,4,V
23-03-2015,24:00,4,V,12,V,15,V,7,V,4,V
24-03-2015,24:00,4,V,13,V,16,V,6,V,3,V
25-03-2015,24:00,4,V,12,V,15,V,6,V,3,V
26-03-2015,24:00,4,V,14,V,18,V,5,V,3,V
27-03-2015,24:00,5,V,16,V,23,V,6,V,3,V
28-03-2015,24:00,4,V,13,V,16,V,10,V,4,V
29-03-2015,24:00,4,V,12,V,15,V,8,V,5,V
30-03-2015,24:00,6,V,37,V,49,V,13,V,8,V
31-03-2015,24:00,5,V,36,V,47,V,14,V,6,V
01-04-2015,24:00,4,V,28,V,34,V,13,V,8,V
02-04-2015,24:00,4,V,23,V,26,V,12,V,7,V
03-04-2015,24:00,4,V,10,V,11,V,10,V,5,V
04-04-2015,24:00,4,V,8,V,10,V,8,V,4,V
05-04-2015,24:00,4,V,9,V,10,V,7,V,4,V
06-04-2015,24:00,4,V,19,V,24,V,7,V,4,V
07-04-2015,24:00,3,V,25,V,33,V,6,V,3,V
08-04-2015,24:00,4,V,21,V,25,V,7,V,3,V
09-04-2015,24:00,3,V,19,V,24,V,7,V,4,V
10-04-2015,24:00,3,V,13,V,16,V,5,V,2,V
11-04-2015,24:00,4,V,11,V,14,V,6,V,3,V
12-04-2015,24:00,3,V,9,V,11,V,8,V,4,V
13-04-2015,24:00,3,V,23,V,29,V,7,V,4,V
14-04-2015,24:00,4,V,15,V,19,V,5,V,2,V
15-04-2015,24:00,3,V,11,V,14,V,8,V,4,V
16-04-2015,24:00,3,V,13,V,18,V,14,V,7,V
17-04-2015,24:00,3,V,15,V,21,V,16,V,8,V
18-04-2015,24:00,3,V,9,V,10,V,12,V,6,V
19-04-2015,24:00,3,V,8,V,8,V,7,V,4,V
20-04-2015,24:00,3,V,12,V,16,V,6,V,3,V
21-04-2015,24:00,4,V,10,V,14,V,6,V,3,V
22-04-2015,24:00,4,V,15,V,20,V,6,V,3,V
23-04-2015,24:00,4,V,23,V,33,V,6,V,3,V
24-04-2015,24:00,4,V,34,V,47,V,6,V,3,V
25-04-2015,24:00,4,V,20,V,25,V,7,V,4,V
26-04-2015,24:00,3,V,9,V,11,V,5,V,3,V
27-04-2015,24:00,3,V,18,V,25,V,6,V,3,V
28-04-2015,24:00,3,V,20,V,25,V,7,V,4,V
29-04-2015,24:00,3,V,16,V,19,V,7,V,4,V
30-04-2015,24:00,4,V,32,V,41,V,10,V,5,V
01-05-2015,24:00,4,V,29,V,33,V,10,V,5,V
02-05-2015,24:00,4,V,27,V,33,V,8,V,4,V
03-05-2015,24:00,4,V,20,V,24,V,6,V,3,V
04-05-2015,24:00,4,V,15,V,18,V,9,V,5,V
05-05-2015,24:00,4,V,13,V,17,V,7,V,3,V
06-05-2015,24:00,4,V,19,V,24,V,9,V,5,V
07-05-2015,24:00,4,V,15,V,19,V,13,V,7,V
08-05-2015,24:00,3,V,14,V,17,V,11,V,6,V
09-05-2015,24:00,4,V,13,V,15,V,11,V,6,V
10-05-2015,24:00,6,V,13,V,16,V,12,V,7,V
11-05-2015,24:00,5,V,26,V,33,V,15,V,7,V
12-05-2015,24:00,4,V,41,V,53,V,20,V,7,V
13-05-2015,24:00,6,V,48,V,60,V,46,V,15,V
14-05-2015,24:00,5,V,43,V,66,V,36,V,13,V
15-05-2015,24:00,4,V,23,V,29,V,25,V,11,V
16-05-2015,24:00,5,V,13,V,16,V,18,V,10,V
17-05-2015,24:00,8,V,11,V,13,V,13,V,7,V
18-05-2015,24:00,6,V,7,V,9,V,10,V,5,V
19-05-2015,24:00,3,V,6,V,8,V,8,V,4,V
20-05-2015,24:00,3,V,7,V,9,V,11,V,5,V
21-05-2015,24:00,4,V,8,V,10,V,10,V,6,V
22-05-2015,24:00,2,V,6,V,9,V,10,V,6,V
23-05-2015,24:00,4,V,6,V,8,V,10,V,6,V
