Fecha,Depósito Tristán-Sta Cruz de TF HR (%),Flag
Jan-2015,,N
Feb-2015,,N
Mar-2015,,N
Apr-2015,67,V
May-2015,61,V
Jun-2015,66,V
Jul-2015,59,V
Aug-2015,65,V
Sep-2015,71,V
Oct-2015,72,V
Nov-2015,68,V
Dec-2015,59,V
Jan-2016,66,V
Feb-2016,69,V
Mar-2016,66,V
Apr-2016,,N
May-2016,64,V
Jun-2016,63,V
Jul-2016,56,V
Aug-2016,58,V
Sep-2016,63,V
Oct-2016,67,V
Nov-2016,70,V
Dec-2016,65,V
Jan-2017,63,V
Feb-2017,66,V
Mar-2017,60,V
Apr-2017,,N
May-2017,65,V
Jun-2017,61,V
Jul-2017,60,V
Aug-2017,57,V
Sep-2017,67,V
Oct-2017,58,V
Nov-2017,76,V
Dec-2017,62,V
