Fecha,Depósito Tristán-Sta Cruz de TF O3 (µg/m³),Flag,Depósito Tristán-Sta Cruz de TF CO (mg/m³),Flag,Depósito Tristán-Sta Cruz de TF BEN (µg/m³),Flag,Depósito Tristán-Sta Cruz de TF TOL (µg/m³),Flag,Depósito Tristán-Sta Cruz de TF XIL (µg/m³),Flag
Jan-2015,73,V,0.3,V,0.4,V,0.7,V,0.5,V
Feb-2015,78,V,0.4,V,0.3,V,0.6,V,0.6,V
Mar-2015,71,V,0.4,V,0.3,V,0.9,V,0.8,V
Apr-2015,74,V,0.4,V,0.3,V,0.8,V,0.6,V
May-2015,70,V,0.4,V,0.3,V,1.3,V,1,V
Jun-2015,62,V,0.3,V,0.2,V,0.5,V,0.4,V
Jul-2015,46,V,0.2,V,0.3,V,1,V,1,V
Aug-2015,50,V,0.3,V,0.2,V,0.7,V,0.6,V
Sep-2015,47,V,0.2,V,0.3,V,1.2,V,0.6,V
Oct-2015,53,V,0.2,V,0.2,V,2.3,V,1.2,V
Nov-2015,60,V,0.4,V,0.3,V,2.2,V,1.4,V
Dec-2015,54,V,0.7,V,0.4,V,2.6,V,1.9,V
Jan-2016,57,V,0.5,V,0.4,V,2.5,V,1.6,V
Feb-2016,73,V,0.2,V,0.3,V,1.3,V,0.5,V
Mar-2016,,N,0.3,V,0.2,V,1.1,V,0.3,V
Apr-2016,,N,,N,0.2,V,,N,,N
May-2016,78,V,0.3,V,0.1,V,0.2,V,0.2,V
Jun-2016,51,V,0.4,V,0.1,V,0.2,V,0.5,V
Jul-2016,54,V,0.2,V,0.1,V,0.6,V,0.5,V
Aug-2016,50,V,0.3,V,0.1,V,1.2,V,1,V
Sep-2016,55,V,0.2,V,0.1,V,0.4,V,0.3,V
Oct-2016,52,V,0.3,V,0.2,V,0.7,V,1,V
Nov-2016,55,V,0.4,V,0.2,V,1,V,0.8,V
Dec-2016,60,V,0.3,V,0.2,V,0.5,V,0.4,V
Jan-2017,51,V,0.4,V,0.1,V,0.4,V,0.2,V
Feb-2017,47,V,0.3,V,0.2,V,0.1,V,0.2,V
Mar-2017,49,V,0.4,V,0.2,V,0.1,V,0.3,V
Apr-2017,,N,,N,,N,,N,,N
May-2017,43,V,0.5,V,0.1,V,0.3,V,0.1,V
Jun-2017,40,V,0.3,V,0.1,V,0.2,V,0.1,V
Jul-2017,38,V,0.3,V,0.1,V,0.2,V,0.2,V
Aug-2017,26,V,0.4,V,0.1,V,0.1,V,0.2,V
Sep-2017,37,V,0.3,V,0.1,V,0.1,V,0.1,V
Oct-2017,35,V,0.2,V,2.2,V,8,V,10.2,V
Nov-2017,45,V,0.4,V,1.3,V,2.8,V,4.5,V
Dec-2017,48,V,0.4,V,0.1,V,0.1,V,0.1,V
