Fecha,Hora,García Escámez-Sta Cruz de TF O3 (µg/m³),Flag,"García Escámez-Sta Cruz de TF PM2,5 (µg/m³)",Flag,García Escámez-Sta Cruz de TF BEN (µg/m³),Flag,García Escámez-Sta Cruz de TF TOL (µg/m³),Flag,García Escámez-Sta Cruz de TF XIL (µg/m³),Flag
01-01-2015,24:00,52,V,29,V,,N,,N,,N
02-01-2015,24:00,48,V,10,V,,N,,N,,N
03-01-2015,24:00,55,V,14,V,,N,,N,,N
04-01-2015,24:00,56,V,41,V,,N,,N,,N
05-01-2015,24:00,51,V,16,V,,N,,N,,N
06-01-2015,24:00,63,V,6,V,,N,,N,,N
07-01-2015,24:00,61,V,4,V,,N,,N,,N
08-01-2015,24:00,59,V,6,V,,N,,N,,N
09-01-2015,24:00,46,V,10,V,,N,,N,,N
10-01-2015,24:00,43,V,50,V,,N,,N,,N
11-01-2015,24:00,49,V,27,V,,N,,N,,N
12-01-2015,24:00,41,V,15,V,,N,,N,,N
13-01-2015,24:00,45,V,24,V,,N,,N,,N
14-01-2015,24:00,58,V,6,V,,N,,N,,N
15-01-2015,24:00,52,V,9,V,,N,,N,,N
16-01-2015,24:00,63,V,7,V,,N,,N,,N
17-01-2015,24:00,73,V,7,V,,N,,N,,N
18-01-2015,24:00,68,V,5,V,,N,,N,,N
19-01-2015,24:00,70,V,4,V,,N,,N,,N
20-01-2015,24:00,70,V,4,V,,N,,N,,N
21-01-2015,24:00,75,V,5,V,,N,,N,,N
22-01-2015,24:00,73,V,5,V,,N,,N,,N
23-01-2015,24:00,66,V,3,V,,N,,N,,N
24-01-2015,24:00,65,V,3,V,,N,,N,,N
25-01-2015,24:00,74,V,5,V,,N,,N,,N
26-01-2015,24:00,59,V,9,V,,N,,N,,N
27-01-2015,24:00,58,V,7,V,,N,,N,,N
28-01-2015,24:00,65,V,5,V,,N,,N,,N
29-01-2015,24:00,64,V,4,V,,N,,N,,N
30-01-2015,24:00,59,V,2,V,,N,,N,,N
31-01-2015,24:00,59,V,2,V,,N,,N,,N
01-02-2015,24:00,69,V,4,V,,N,,N,,N
02-02-2015,24:00,76,V,4,V,,N,,N,,N
03-02-2015,24:00,67,V,4,V,,N,,N,,N
04-02-2015,24:00,65,V,1,V,,N,,N,,N
05-02-2015,24:00,72,V,3,V,,N,,N,,N
06-02-2015,24:00,72,V,3,V,,N,,N,,N
07-02-2015,24:00,67,V,3,V,,N,,N,,N
08-02-2015,24:00,52,V,3,V,,N,,N,,N
09-02-2015,24:00,46,V,5,V,,N,,N,,N
10-02-2015,24:00,34,V,7,V,,N,,N,,N
11-02-2015,24:00,58,V,3,V,,N,,N,,N
12-02-2015,24:00,70,V,3,V,,N,,N,,N
13-02-2015,24:00,79,V,4,V,,N,,N,,N
14-02-2015,24:00,81,V,5,V,,N,,N,,N
15-02-2015,24:00,64,V,4,V,,N,,N,,N
16-02-2015,24:00,59,V,3,V,,N,,N,,N
17-02-2015,24:00,74,V,4,V,,N,,N,,N
18-02-2015,24:00,80,V,6,V,,N,,N,,N
19-02-2015,24:00,82,V,5,V,,N,,N,,N
20-02-2015,24:00,86,V,6,V,,N,,N,,N
21-02-2015,24:00,74,V,3,V,,N,,N,,N
22-02-2015,24:00,66,V,2,V,,N,,N,,N
23-02-2015,24:00,49,V,2,V,,N,,N,,N
24-02-2015,24:00,61,V,4,V,,N,,N,,N
25-02-2015,24:00,70,V,11,V,,N,,N,,N
26-02-2015,24:00,63,V,10,V,,N,,N,,N
27-02-2015,24:00,66,V,5,V,,N,,N,,N
28-02-2015,24:00,69,V,4,V,,N,,N,,N
01-03-2015,24:00,61,V,5,V,,N,,N,,N
02-03-2015,24:00,54,V,6,V,,N,,N,,N
03-03-2015,24:00,47,V,10,V,,N,,N,,N
04-03-2015,24:00,48,V,12,V,,N,,N,,N
05-03-2015,24:00,36,V,13,V,,N,,N,,N
