Fecha,Hora,García Escámez-Sta Cruz de TF SO2 (µg/m³),Flag,García Escámez-Sta Cruz de TF NO2 (µg/m³),Flag,García Escámez-Sta Cruz de TF O3 (µg/m³),Flag,García Escámez-Sta Cruz de TF PM10 (µg/m³),Flag,"García Escámez-Sta Cruz de TF PM2,5 (µg/m³)",Flag
01-01-2017,24:00,3,V,19,V,36,V,47,V,16,V
02-01-2017,24:00,2,V,27,V,24,V,67,V,27,V
03-01-2017,24:00,2,V,27,V,24,V,77,V,32,V
04-01-2017,24:00,3,V,36,V,18,V,45,V,16,V
05-01-2017,24:00,4,V,45,V,15,V,25,V,9,V
06-01-2017,24:00,3,V,17,V,36,V,8,V,3,V
07-01-2017,24:00,3,V,12,V,39,V,35,V,10,V
08-01-2017,24:00,2,V,15,V,39,V,61,V,18,V
09-01-2017,24:00,2,V,23,V,34,V,44,V,17,V
10-01-2017,24:00,3,V,25,V,33,V,16,V,9,V
11-01-2017,24:00,2,V,9,V,43,V,8,V,5,V
12-01-2017,24:00,2,V,26,V,30,V,14,V,7,V
13-01-2017,24:00,4,V,34,V,27,V,122,V,40,V
14-01-2017,24:00,3,V,18,V,36,V,24,V,8,V
15-01-2017,24:00,2,V,8,V,45,V,9,V,5,V
16-01-2017,24:00,3,V,19,V,37,V,17,V,9,V
17-01-2017,24:00,,N,,N,,N,43,V,15,V
18-01-2017,24:00,,N,,N,,N,7,V,4,V
19-01-2017,24:00,3,V,9,V,36,V,4,V,2,V
20-01-2017,24:00,3,V,13,V,47,V,5,V,2,V
21-01-2017,24:00,2,V,6,V,71,V,3,V,2,V
22-01-2017,24:00,2,V,5,V,81,V,3,V,2,V
23-01-2017,24:00,2,V,8,V,72,V,2,V,1,V
24-01-2017,24:00,2,V,12,V,71,V,5,V,2,V
25-01-2017,24:00,3,V,20,V,58,V,5,V,2,V
26-01-2017,24:00,3,V,15,V,53,V,6,V,4,V
27-01-2017,24:00,3,V,21,V,66,V,5,V,3,V
28-01-2017,24:00,2,V,17,V,64,V,5,V,2,V
29-01-2017,24:00,2,V,7,V,80,V,5,V,3,V
30-01-2017,24:00,2,V,11,V,72,V,5,V,3,V
31-01-2017,24:00,2,V,8,V,77,V,6,V,4,V
01-02-2017,24:00,2,V,7,V,84,V,6,V,3,V
02-02-2017,24:00,2,V,8,V,64,V,5,V,3,V
03-02-2017,24:00,3,V,14,V,33,V,6,V,4,V
04-02-2017,24:00,2,V,7,V,52,V,3,V,1,V
05-02-2017,24:00,2,V,11,V,49,V,4,V,2,V
06-02-2017,24:00,2,V,13,V,62,V,7,V,4,V
07-02-2017,24:00,2,V,10,V,73,V,10,V,6,V
