Fecha,Hora,García Escámez-Sta Cruz de TF DD (Grd),Flag,García Escámez-Sta Cruz de TF VV (m/s),Flag,García Escámez-Sta Cruz de TF TMP (ºC),Flag,García Escámez-Sta Cruz de TF HR (%),Flag,García Escámez-Sta Cruz de TF PRB (mb),Flag
01-01-2017,24:00,227,V,2.9,V,17.1,V,51,V,1001,V
02-01-2017,24:00,204,V,2,V,16.6,V,72,V,996,V
03-01-2017,24:00,224,V,2.2,V,17.3,V,71,V,1000,V
04-01-2017,24:00,318,V,1,V,17.2,V,56,V,1003,V
05-01-2017,24:00,318,V,1.2,V,17,V,51,V,1000,V
06-01-2017,24:00,228,V,3.8,V,17.6,V,38,V,997,V
07-01-2017,24:00,246,V,3.1,V,19.6,V,24,V,998,V
08-01-2017,24:00,247,V,3.2,V,19.2,V,39,V,1000,V
09-01-2017,24:00,115,V,2.5,V,17.5,V,66,V,1003,V
10-01-2017,24:00,115,V,3.2,V,15.9,V,66,V,1006,V
11-01-2017,24:00,44,V,3.3,V,16.6,V,61,V,1004,V
12-01-2017,24:00,134,V,1.8,V,16.6,V,73,V,1002,V
13-01-2017,24:00,224,V,3.4,V,17.5,V,52,V,1004,V
14-01-2017,24:00,132,V,2.4,V,16.4,V,64,V,1003,V
15-01-2017,24:00,69,V,1.9,V,16,V,59,V,1002,V
16-01-2017,24:00,138,V,3.1,V,16.4,V,63,V,1001,V
17-01-2017,24:00,116,V,2.2,V,16.3,V,67,V,1001,V
18-01-2017,24:00,43,V,3.2,V,15.3,V,55,V,1000,V
19-01-2017,24:00,46,V,2.9,V,15.5,V,59,V,1001,V
20-01-2017,24:00,228,V,2.3,V,16.1,V,59,V,1002,V
21-01-2017,24:00,134,V,3.7,V,15.9,V,67,V,1002,V
22-01-2017,24:00,41,V,4,V,15.3,V,60,V,1005,V
23-01-2017,24:00,45,V,2.9,V,15.8,V,64,V,1006,V
24-01-2017,24:00,89,V,2.2,V,15.8,V,59,V,1006,V
25-01-2017,24:00,159,V,1.5,V,15.8,V,59,V,1004,V
26-01-2017,24:00,204,V,2.1,V,15.3,V,69,V,1001,V
27-01-2017,24:00,140,V,1.9,V,16.1,V,67,V,1005,V
