Fecha,Hora,García Escámez-Sta Cruz de TF SO2 (µg/m³),Flag,García Escámez-Sta Cruz de TF NO2 (µg/m³),Flag,García Escámez-Sta Cruz de TF NOX (µg/m³),Flag,García Escámez-Sta Cruz de TF PM10 (µg/m³),Flag,García Escámez-Sta Cruz de TF O3 (µg/m³),Flag
01-01-2016,24:00,2,V,28,V,32,V,28,V,43,V
02-01-2016,24:00,2,V,25,V,28,V,22,V,46,V
03-01-2016,24:00,2,V,25,V,28,V,16,V,43,V
04-01-2016,24:00,,N,19,V,24,V,,N,41,V
05-01-2016,24:00,,N,18,V,24,V,,N,39,V
06-01-2016,24:00,,N,9,V,10,V,,N,62,V
07-01-2016,24:00,,N,21,V,22,V,,N,53,V
08-01-2016,24:00,,N,26,V,31,V,,N,45,V
09-01-2016,24:00,,N,20,V,22,V,,N,48,V
10-01-2016,24:00,,N,23,V,26,V,,N,45,V
11-01-2016,24:00,,N,30,V,47,V,,N,39,V
12-01-2016,24:00,,N,31,V,39,V,,N,39,V
13-01-2016,24:00,,N,40,V,57,V,,N,28,V
14-01-2016,24:00,8,V,47,V,77,V,,N,20,V
15-01-2016,24:00,16,V,51,V,95,V,,N,15,V
16-01-2016,24:00,5,V,29,V,42,V,,N,33,V
17-01-2016,24:00,4,V,33,V,38,V,,N,47,V
18-01-2016,24:00,3,V,20,V,28,V,,N,48,V
19-01-2016,24:00,3,V,15,V,20,V,9,V,51,V
20-01-2016,24:00,4,V,26,V,35,V,8,V,32,V
21-01-2016,24:00,3,V,25,V,33,V,8,V,24,V
22-01-2016,24:00,5,V,19,V,25,V,6,V,27,V
23-01-2016,24:00,5,V,19,V,23,V,12,V,38,V
24-01-2016,24:00,3,V,25,V,31,V,40,V,37,V
25-01-2016,24:00,4,V,32,V,45,V,47,V,42,V
26-01-2016,24:00,3,V,33,V,45,V,35,V,44,V
27-01-2016,24:00,4,V,38,V,52,V,33,V,35,V
28-01-2016,24:00,2,V,30,V,36,V,16,V,38,V
29-01-2016,24:00,4,V,22,V,26,V,11,V,51,V
30-01-2016,24:00,3,V,16,V,18,V,17,V,61,V
31-01-2016,24:00,2,V,13,V,15,V,24,V,68,V
