Fecha,Hora,Parque La Granja-Sta Cruz de TF SO2 (µg/m³),Flag,Parque La Granja-Sta Cruz de TF NO2 (µg/m³),Flag,Parque La Granja-Sta Cruz de TF PM10 (µg/m³),Flag,Parque La Granja-Sta Cruz de TF NOX (µg/m³),Flag,Parque La Granja-Sta Cruz de TF O3 (µg/m³),Flag
01-01-2017,24:00,2,V,30,V,29,V,32,V,56,V
02-01-2017,24:00,2,V,28,V,47,V,34,V,46,V
03-01-2017,24:00,2,V,30,V,57,V,35,V,41,V
04-01-2017,24:00,2,V,39,V,32,V,46,V,36,V
05-01-2017,24:00,2,V,68,V,17,V,96,V,6,V
06-01-2017,24:00,2,V,29,V,8,V,30,V,37,V
07-01-2017,24:00,2,V,19,V,22,V,20,V,60,V
08-01-2017,24:00,2,V,20,V,37,V,22,V,62,V
09-01-2017,24:00,2,V,35,V,31,V,39,V,44,V
10-01-2017,24:00,2,V,36,V,15,V,49,V,50,V
11-01-2017,24:00,2,V,18,V,10,V,25,V,69,V
12-01-2017,24:00,2,V,35,V,15,V,44,V,47,V
13-01-2017,24:00,2,V,45,V,83,V,52,V,44,V
14-01-2017,24:00,2,V,27,V,16,V,30,V,55,V
15-01-2017,24:00,3,V,19,V,11,V,22,V,73,V
16-01-2017,24:00,2,V,33,V,22,V,36,V,56,V
17-01-2017,24:00,2,V,31,V,36,V,38,V,52,V
18-01-2017,24:00,2,V,18,V,13,V,21,V,72,V
19-01-2017,24:00,2,V,17,V,7,V,22,V,74,V
20-01-2017,24:00,2,V,15,V,8,V,19,V,71,V
21-01-2017,24:00,2,V,12,V,5,V,12,V,72,V
22-01-2017,24:00,2,V,10,V,4,V,10,V,82,V
23-01-2017,24:00,2,V,14,V,4,V,15,V,78,V
24-01-2017,24:00,2,V,22,V,10,V,28,V,72,V
25-01-2017,24:00,2,V,25,V,10,V,27,V,60,V
26-01-2017,24:00,2,V,25,V,8,V,29,V,53,V
27-01-2017,24:00,2,V,31,V,9,V,36,V,59,V
28-01-2017,24:00,2,V,23,V,7,V,24,V,59,V
29-01-2017,24:00,2,V,12,V,8,V,15,V,72,V
