Fecha,Hora,Parque La Granja-Sta Cruz de TF DD (Grd),Flag,Parque La Granja-Sta Cruz de TF TMP (ºC),Flag,Parque La Granja-Sta Cruz de TF VV (m/s),Flag,Parque La Granja-Sta Cruz de TF HR (%),Flag,Parque La Granja-Sta Cruz de TF PRB (mb),Flag
01-01-2017,24:00,206,V,17.6,V,2.4,V,54,V,1006,V
02-01-2017,24:00,198,V,17.5,V,1.4,V,73,V,1002,V
03-01-2017,24:00,205,V,18,V,2,V,72,V,1005,V
04-01-2017,24:00,294,V,17.6,V,0.2,V,61,V,1008,V
05-01-2017,24:00,271,V,16.7,V,0.4,V,58,V,1005,V
06-01-2017,24:00,225,V,17.8,V,1.8,V,43,V,1002,V
07-01-2017,24:00,229,V,20.5,V,2.3,V,25,V,1003,V
08-01-2017,24:00,226,V,20.1,V,2.3,V,39,V,1005,V
09-01-2017,24:00,252,V,17.8,V,0.5,V,68,V,1008,V
10-01-2017,24:00,136,V,16.4,V,1.8,V,68,V,1011,V
11-01-2017,24:00,200,V,17.7,V,1.5,V,62,V,1009,V
12-01-2017,24:00,184,V,17.5,V,0.5,V,75,V,1007,V
13-01-2017,24:00,248,V,17.9,V,0.5,V,56,V,1009,V
14-01-2017,24:00,116,V,17.1,V,1.6,V,65,V,1008,V
15-01-2017,24:00,204,V,17.1,V,1,V,59,V,1007,V
16-01-2017,24:00,160,V,17.2,V,0.9,V,65,V,1007,V
17-01-2017,24:00,137,V,16.8,V,1.4,V,70,V,1006,V
18-01-2017,24:00,182,V,16.1,V,1.2,V,57,V,1005,V
19-01-2017,24:00,180,V,16.6,V,1.7,V,59,V,1006,V
20-01-2017,24:00,227,V,17.2,V,1.2,V,60,V,1007,V
21-01-2017,24:00,252,V,16.7,V,1,V,69,V,1007,V
22-01-2017,24:00,269,V,16.6,V,1.1,V,61,V,1010,V
23-01-2017,24:00,226,V,16.8,V,1.5,V,65,V,1011,V
24-01-2017,24:00,130,V,16.9,V,1.7,V,60,V,1011,V
25-01-2017,24:00,180,V,16.9,V,0.7,V,60,V,1008,V
26-01-2017,24:00,200,V,16.4,V,1.3,V,70,V,1006,V
27-01-2017,24:00,132,V,17.3,V,1.5,V,66,V,1010,V
28-01-2017,24:00,136,V,16.8,V,1.1,V,67,V,1011,V
29-01-2017,24:00,198,V,17.4,V,1,V,57,V,1010,V
30-01-2017,24:00,204,V,17.5,V,1.5,V,62,V,1009,V
31-01-2017,24:00,181,V,17.5,V,1.6,V,63,V,1007,V
01-02-2017,24:00,265,V,17.3,V,1.4,V,62,V,1009,V
02-02-2017,24:00,242,V,18.3,V,1,V,64,V,1010,V
03-02-2017,24:00,178,V,17.4,V,1.9,V,69,V,1012,V
04-02-2017,24:00,315,V,17.2,V,0.7,V,64,V,1013,V
