Fecha,Hora,Parque La Granja-Sta Cruz de TF DD (Grd),Flag,Parque La Granja-Sta Cruz de TF VV (m/s),Flag,Parque La Granja-Sta Cruz de TF TMP (ºC),Flag,Parque La Granja-Sta Cruz de TF PRB (mb),Flag,Parque La Granja-Sta Cruz de TF HR (%),Flag
01-01-2016,24:00,298,V,0.2,V,16.8,V,1011,V,,N
02-01-2016,24:00,295,V,0.5,V,17.1,V,1012,V,,N
03-01-2016,24:00,316,V,0.6,V,17.2,V,1012,V,,N
04-01-2016,24:00,296,V,0.5,V,17.1,V,1010,V,,N
05-01-2016,24:00,230,V,1.2,V,18.3,V,1008,V,,N
06-01-2016,24:00,203,V,0.8,V,17.5,V,1010,V,,N
07-01-2016,24:00,137,V,1.3,V,17.8,V,1008,V,,N
08-01-2016,24:00,180,V,2.1,V,17.6,V,1005,V,,N
09-01-2016,24:00,109,V,1.1,V,18.2,V,1007,V,,N
10-01-2016,24:00,184,V,2,V,17.9,V,1007,V,,N
11-01-2016,24:00,135,V,1.3,V,18.3,V,1008,V,,N
12-01-2016,24:00,137,V,1.3,V,17.8,V,1007,V,,N
13-01-2016,24:00,155,V,0.6,V,17.8,V,1006,V,,N
14-01-2016,24:00,252,V,0.5,V,19.8,V,1006,V,,N
15-01-2016,24:00,275,V,0.2,V,19.6,V,1008,V,,N
16-01-2016,24:00,251,V,0.3,V,18.8,V,1008,V,,N
17-01-2016,24:00,274,V,0.3,V,19.2,V,1008,V,,N
18-01-2016,24:00,290,V,0.8,V,18.5,V,1008,V,,N
19-01-2016,24:00,273,V,1,V,18.7,V,1006,V,,N
20-01-2016,24:00,160,V,1.2,V,17.2,V,1008,V,,N
21-01-2016,24:00,316,V,0.9,V,17.6,V,1010,V,,N
22-01-2016,24:00,133,V,1.4,V,19.5,V,1012,V,,N
23-01-2016,24:00,157,V,1.2,V,19.2,V,1012,V,,N
24-01-2016,24:00,289,V,0.2,V,19.5,V,1012,V,,N
25-01-2016,24:00,290,V,0.4,V,18.1,V,1014,V,,N
26-01-2016,24:00,269,V,0.2,V,17.8,V,1015,V,,N
27-01-2016,24:00,131,V,1.4,V,17.7,V,1013,V,,N
28-01-2016,24:00,114,V,1.5,V,17.5,V,1014,V,,N
29-01-2016,24:00,139,V,1.8,V,18.1,V,1014,V,,N
30-01-2016,24:00,134,V,1.9,V,18.4,V,1016,V,,N
31-01-2016,24:00,219,V,0.6,V,17.9,V,1015,V,,N
01-02-2016,24:00,133,V,0.9,V,18.3,V,1014,V,,N
02-02-2016,24:00,273,V,0.2,V,17.3,V,1012,V,,N
03-02-2016,24:00,269,V,0.2,V,17.7,V,1011,V,,N
04-02-2016,24:00,293,V,0.4,V,17.4,V,1010,V,,N
05-02-2016,24:00,291,V,0.2,V,17.8,V,1008,V,,N
06-02-2016,24:00,294,V,0.6,V,18,V,1010,V,,N
07-02-2016,24:00,119,V,1.5,V,17.3,V,1014,V,,N
08-02-2016,24:00,140,V,1.2,V,17.5,V,1016,V,,N
09-02-2016,24:00,116,V,1.9,V,17.9,V,1017,V,,N
10-02-2016,24:00,266,V,0.6,V,17.8,V,1014,V,,N
11-02-2016,24:00,204,V,2.1,V,18.5,V,1012,V,,N
12-02-2016,24:00,203,V,1.2,V,18.9,V,1012,V,,N
13-02-2016,24:00,293,V,1.5,V,19.2,V,1012,V,,N
14-02-2016,24:00,199,V,1.6,V,18.9,V,1013,V,,N
