Fecha,Hora,Parque La Granja-Sta Cruz de TF SO2 (µg/m³),Flag,Parque La Granja-Sta Cruz de TF NO2 (µg/m³),Flag,Parque La Granja-Sta Cruz de TF NOX (µg/m³),Flag,Parque La Granja-Sta Cruz de TF PM10 (µg/m³),Flag,Parque La Granja-Sta Cruz de TF O3 (µg/m³),Flag
01-01-2016,24:00,3,V,28,V,32,V,31,V,29,V
02-01-2016,24:00,2,V,27,V,30,V,20,V,31,V
03-01-2016,24:00,2,V,27,V,30,V,16,V,31,V
04-01-2016,24:00,2,V,16,V,21,V,6,V,34,V
05-01-2016,24:00,4,V,19,V,24,V,7,V,34,V
06-01-2016,24:00,2,V,12,V,14,V,9,V,51,V
07-01-2016,24:00,2,V,19,V,21,V,9,V,48,V
08-01-2016,24:00,5,V,25,V,29,V,11,V,41,V
09-01-2016,24:00,27,V,22,V,25,V,8,V,38,V
10-01-2016,24:00,2,V,20,V,22,V,9,V,39,V
11-01-2016,24:00,3,V,31,V,36,V,13,V,22,V
12-01-2016,24:00,2,V,29,V,32,V,11,V,22,V
13-01-2016,24:00,3,V,41,V,53,V,16,V,15,V
14-01-2016,24:00,7,V,53,V,92,V,20,V,10,V
15-01-2016,24:00,15,V,61,V,94,V,22,V,6,V
16-01-2016,24:00,7,V,38,V,49,V,20,V,14,V
17-01-2016,24:00,3,V,51,V,61,V,12,V,20,V
18-01-2016,24:00,3,V,23,V,27,V,,N,30,V
19-01-2016,24:00,2,V,19,V,24,V,9,V,31,V
20-01-2016,24:00,2,V,30,V,36,V,9,V,22,V
21-01-2016,24:00,3,V,26,V,31,V,10,V,21,V
22-01-2016,24:00,3,V,23,V,29,V,7,V,18,V
23-01-2016,24:00,5,V,25,V,30,V,12,V,24,V
24-01-2016,24:00,3,V,29,V,33,V,22,V,25,V
25-01-2016,24:00,9,V,44,V,53,V,30,V,26,V
26-01-2016,24:00,3,V,47,V,51,V,24,V,22,V
27-01-2016,24:00,5,V,33,V,38,V,28,V,21,V
28-01-2016,24:00,20,V,33,V,40,V,13,V,23,V
29-01-2016,24:00,8,V,34,V,42,V,11,V,26,V
30-01-2016,24:00,3,V,21,V,25,V,14,V,31,V
31-01-2016,24:00,4,V,15,V,17,V,20,V,37,V
01-02-2016,24:00,6,V,36,V,41,V,32,V,41,V
02-02-2016,24:00,3,V,37,V,41,V,25,V,42,V
03-02-2016,24:00,2,V,32,V,37,V,21,V,47,V
04-02-2016,24:00,2,V,31,V,37,V,20,V,44,V
05-02-2016,24:00,3,V,26,V,31,V,19,V,47,V
06-02-2016,24:00,4,V,18,V,22,V,15,V,52,V
07-02-2016,24:00,2,V,29,V,32,V,23,V,42,V
08-02-2016,24:00,2,V,29,V,33,V,19,V,40,V
09-02-2016,24:00,3,V,31,V,35,V,12,V,37,V
10-02-2016,24:00,2,V,18,V,21,V,8,V,49,V
11-02-2016,24:00,2,V,6,V,8,V,7,V,58,V
12-02-2016,24:00,2,V,17,V,20,V,5,V,43,V
13-02-2016,24:00,7,V,16,V,23,V,6,V,38,V
14-02-2016,24:00,2,V,7,V,8,V,10,V,50,V
15-02-2016,24:00,3,V,6,V,8,V,11,V,70,V
16-02-2016,24:00,2,V,9,V,11,V,12,V,77,V
17-02-2016,24:00,2,V,11,V,13,V,9,V,77,V
18-02-2016,24:00,3,V,13,V,16,V,5,V,71,V
19-02-2016,24:00,2,V,15,V,17,V,4,V,75,V
20-02-2016,24:00,9,V,9,V,11,V,8,V,76,V
21-02-2016,24:00,2,V,11,V,12,V,8,V,76,V
22-02-2016,24:00,3,V,20,V,23,V,7,V,65,V
23-02-2016,24:00,2,V,18,V,20,V,9,V,69,V
24-02-2016,24:00,2,V,14,V,16,V,14,V,78,V
25-02-2016,24:00,2,V,14,V,17,V,11,V,71,V
26-02-2016,24:00,2,V,9,V,10,V,5,V,73,V
27-02-2016,24:00,2,V,8,V,9,V,4,V,69,V
28-02-2016,24:00,2,V,7,V,8,V,3,V,67,V
29-02-2016,24:00,2,V,11,V,14,V,4,V,69,V
01-03-2016,24:00,4,V,32,V,36,V,15,V,67,V
02-03-2016,24:00,6,V,43,V,54,V,26,V,47,V
03-03-2016,24:00,2,V,32,V,35,V,17,V,49,V
04-03-2016,24:00,6,V,21,V,25,V,7,V,53,V
05-03-2016,24:00,3,V,9,V,10,V,5,V,75,V
06-03-2016,24:00,7,V,9,V,10,V,3,V,74,V
07-03-2016,24:00,2,V,9,V,11,V,3,V,77,V
08-03-2016,24:00,2,V,9,V,12,V,4,V,76,V
09-03-2016,24:00,5,V,12,V,14,V,7,V,77,V
10-03-2016,24:00,2,V,11,V,13,V,6,V,69,V
11-03-2016,24:00,2,V,12,V,15,V,7,V,71,V
12-03-2016,24:00,2,V,15,V,18,V,8,V,70,V
13-03-2016,24:00,2,V,11,V,14,V,7,V,74,V
14-03-2016,24:00,2,V,24,V,27,V,7,V,66,V
15-03-2016,24:00,4,V,31,V,35,V,9,V,58,V
16-03-2016,24:00,5,V,31,V,34,V,13,V,58,V
17-03-2016,24:00,3,V,32,V,38,V,16,V,50,V
18-03-2016,24:00,3,V,25,V,32,V,11,V,41,V
19-03-2016,24:00,2,V,9,V,11,V,3,V,66,V
20-03-2016,24:00,2,V,10,V,10,V,3,V,73,V
21-03-2016,24:00,2,V,10,V,11,V,6,V,,N
22-03-2016,24:00,2,V,9,V,10,V,6,V,,N
23-03-2016,24:00,2,V,,N,,N,7,V,,N
24-03-2016,24:00,2,V,,N,,N,4,V,95,V
25-03-2016,24:00,4,V,,N,,N,9,V,101,V
26-03-2016,24:00,2,V,,N,,N,8,V,96,V
27-03-2016,24:00,3,V,,N,,N,6,V,85,V
28-03-2016,24:00,2,V,,N,,N,7,V,49,V
29-03-2016,24:00,2,V,19,V,18,V,8,V,43,V
30-03-2016,24:00,2,V,15,V,16,V,8,V,50,V
31-03-2016,24:00,2,V,9,V,9,V,5,V,54,V
01-04-2016,24:00,2,V,8,V,9,V,4,V,55,V
02-04-2016,24:00,2,V,5,V,6,V,4,V,57,V
03-04-2016,24:00,2,V,5,V,7,V,3,V,52,V
04-04-2016,24:00,2,V,7,V,8,V,8,V,55,V
05-04-2016,24:00,2,V,5,V,6,V,3,V,47,V
06-04-2016,24:00,,N,5,V,7,V,2,V,,N
07-04-2016,24:00,2,V,4,V,7,V,2,V,54,V
08-04-2016,24:00,2,V,5,V,7,V,8,V,72,V
09-04-2016,24:00,2,V,5,V,6,V,8,V,69,V
10-04-2016,24:00,2,V,4,V,5,V,6,V,65,V
11-04-2016,24:00,2,V,12,V,13,V,6,V,61,V
12-04-2016,24:00,3,V,18,V,19,V,6,V,57,V
13-04-2016,24:00,3,V,20,V,22,V,6,V,50,V
14-04-2016,24:00,5,V,16,V,19,V,6,V,51,V
15-04-2016,24:00,4,V,19,V,23,V,5,V,42,V
16-04-2016,24:00,4,V,17,V,20,V,8,V,38,V
17-04-2016,24:00,2,V,13,V,15,V,8,V,38,V
18-04-2016,24:00,,N,,N,,N,,N,,N
19-04-2016,24:00,2,V,9,V,10,V,8,V,69,V
20-04-2016,24:00,4,V,19,V,20,V,8,V,65,V
21-04-2016,24:00,3,V,16,V,18,V,8,V,61,V
22-04-2016,24:00,6,V,22,V,29,V,11,V,41,V
23-04-2016,24:00,2,V,5,V,7,V,6,V,53,V
24-04-2016,24:00,2,V,5,V,6,V,6,V,64,V
25-04-2016,24:00,2,V,6,V,7,V,8,V,64,V
26-04-2016,24:00,2,V,8,V,10,V,7,V,65,V
27-04-2016,24:00,2,V,9,V,11,V,8,V,66,V
28-04-2016,24:00,2,V,16,V,19,V,8,V,42,V
29-04-2016,24:00,2,V,12,V,15,V,7,V,42,V
30-04-2016,24:00,3,V,9,V,11,V,9,V,53,V
01-05-2016,24:00,2,V,6,V,7,V,13,V,70,V
02-05-2016,24:00,2,V,4,V,6,V,19,V,79,V
03-05-2016,24:00,2,V,6,V,7,V,16,V,77,V
04-05-2016,24:00,2,V,11,V,12,V,16,V,73,V
05-05-2016,24:00,3,V,9,V,11,V,13,V,82,V
06-05-2016,24:00,2,V,7,V,7,V,10,V,84,V
07-05-2016,24:00,4,V,13,V,14,V,10,V,67,V
08-05-2016,24:00,3,V,12,V,13,V,10,V,56,V
09-05-2016,24:00,3,V,11,V,13,V,7,V,74,V
10-05-2016,24:00,2,V,12,V,13,V,8,V,80,V
11-05-2016,24:00,2,V,15,V,17,V,8,V,78,V
12-05-2016,24:00,2,V,11,V,13,V,8,V,72,V
13-05-2016,24:00,2,V,8,V,9,V,6,V,73,V
14-05-2016,24:00,2,V,5,V,7,V,8,V,80,V
15-05-2016,24:00,2,V,5,V,6,V,10,V,87,V
16-05-2016,24:00,2,V,6,V,7,V,10,V,102,V
