Fecha,Hora,"Parque La Granja-Sta Cruz de TF PM2,5 (µg/m³)",Flag,Parque La Granja-Sta Cruz de TF O3 (µg/m³),Flag,Parque La Granja-Sta Cruz de TF TOL (µg/m³),Flag,Parque La Granja-Sta Cruz de TF BEN (µg/m³),Flag,Parque La Granja-Sta Cruz de TF XIL (µg/m³),Flag
01-01-2015,24:00,,N,70,V,0.1,V,0.2,V,0.1,V
02-01-2015,24:00,,N,68,V,0.1,V,0.2,V,0.2,V
03-01-2015,24:00,,N,74,V,0.1,V,0.3,V,0.2,V
04-01-2015,24:00,,N,73,V,0.1,V,0.3,V,0.1,V
05-01-2015,24:00,,N,64,V,0.2,V,0.4,V,0.4,V
06-01-2015,24:00,,N,75,V,0.1,V,0.2,V,0.2,V
07-01-2015,24:00,,N,74,V,0.1,V,0.2,V,0.2,V
08-01-2015,24:00,,N,71,V,0.1,V,0.2,V,0.2,V
09-01-2015,24:00,,N,55,V,0.8,V,0.2,V,1.7,V
10-01-2015,24:00,,N,55,V,0.2,V,0.2,V,0.3,V
11-01-2015,24:00,,N,53,V,0.2,V,0.3,V,0.5,V
12-01-2015,24:00,,N,51,V,0.2,V,0.2,V,0.4,V
13-01-2015,24:00,,N,48,V,0.3,V,0.3,V,0.6,V
14-01-2015,24:00,,N,65,V,0.8,V,0.2,V,1.8,V
15-01-2015,24:00,,N,54,V,1.2,V,0.3,V,2.6,V
16-01-2015,24:00,,N,66,V,0.1,V,0.2,V,0.2,V
17-01-2015,24:00,,N,78,V,0.4,V,0.2,V,0.9,V
18-01-2015,24:00,,N,75,V,0.1,V,0.1,V,0.1,V
19-01-2015,24:00,,N,77,V,0.1,V,0.1,V,0.1,V
20-01-2015,24:00,,N,77,V,0.1,V,0.1,V,0.1,V
21-01-2015,24:00,,N,79,V,0.1,V,0.2,V,0.1,V
22-01-2015,24:00,3,V,78,V,0.1,V,0.2,V,0.1,V
23-01-2015,24:00,2,V,71,V,0.1,V,0.2,V,0.2,V
24-01-2015,24:00,2,V,70,V,0.1,V,0.1,V,0.2,V
25-01-2015,24:00,3,V,79,V,0.1,V,0.1,V,0.1,V
26-01-2015,24:00,6,V,66,V,0.2,V,0.3,V,0.3,V
27-01-2015,24:00,5,V,62,V,0.2,V,0.3,V,0.5,V
28-01-2015,24:00,4,V,68,V,0.1,V,0.2,V,0.1,V
29-01-2015,24:00,3,V,68,V,0.4,V,0.2,V,1,V
30-01-2015,24:00,2,V,64,V,0.1,V,0.1,V,0.1,V
31-01-2015,24:00,2,V,64,V,0.1,V,0.1,V,0.1,V
01-02-2015,24:00,3,V,74,V,0.1,V,0.1,V,0.1,V
02-02-2015,24:00,3,V,83,V,0.1,V,0.2,V,0.1,V
03-02-2015,24:00,2,V,75,V,0.1,V,0.2,V,0.1,V
04-02-2015,24:00,2,V,72,V,0.1,V,0.2,V,0.2,V
05-02-2015,24:00,3,V,75,V,0.2,V,0.4,V,0.5,V
06-02-2015,24:00,3,V,76,V,0.1,V,0.3,V,0.2,V
07-02-2015,24:00,2,V,71,V,0.1,V,0.2,V,0.2,V
08-02-2015,24:00,1,V,62,V,0.2,V,0.3,V,0.3,V
09-02-2015,24:00,3,V,58,V,0.2,V,0.6,V,0.5,V
10-02-2015,24:00,4,V,47,V,0.5,V,0.6,V,1,V
