Fecha,Hora,Parque La Granja-Sta Cruz de TF SO2 (µg/m³),Flag,Parque La Granja-Sta Cruz de TF CO (mg/m³),Flag,Parque La Granja-Sta Cruz de TF NO2 (µg/m³),Flag,Parque La Granja-Sta Cruz de TF PM10 (µg/m³),Flag,Parque La Granja-Sta Cruz de TF NOX (µg/m³),Flag
01-01-2015,24:00,2,V,0.4,V,11,V,,N,8,V
02-01-2015,24:00,2,V,0.4,V,18,V,,N,17,V
03-01-2015,24:00,3,V,0.4,V,11,V,,N,9,V
04-01-2015,24:00,2,V,0.4,V,15,V,,N,12,V
05-01-2015,24:00,2,V,0.4,V,24,V,,N,22,V
06-01-2015,24:00,2,V,0.4,V,13,V,,N,9,V
07-01-2015,24:00,2,V,0.5,V,15,V,,N,12,V
08-01-2015,24:00,2,V,0.4,V,16,V,,N,15,V
09-01-2015,24:00,7,V,0.4,V,28,V,,N,29,V
10-01-2015,24:00,3,V,0.4,V,22,V,,N,23,V
11-01-2015,24:00,3,V,0.4,V,26,V,,N,27,V
12-01-2015,24:00,3,V,0.4,V,27,V,,N,29,V
13-01-2015,24:00,2,V,0.4,V,22,V,,N,26,V
14-01-2015,24:00,2,V,0.4,V,17,V,,N,18,V
15-01-2015,24:00,2,V,0.4,V,19,V,,N,20,V
16-01-2015,24:00,2,V,0.3,V,14,V,,N,16,V
17-01-2015,24:00,2,V,0.3,V,8,V,,N,6,V
18-01-2015,24:00,2,V,0.4,V,7,V,,N,5,V
19-01-2015,24:00,2,V,0.4,V,6,V,,N,5,V
20-01-2015,24:00,2,V,0.4,V,7,V,,N,6,V
21-01-2015,24:00,2,V,0.4,V,9,V,,N,8,V
22-01-2015,24:00,2,V,0.4,V,11,V,8,V,10,V
23-01-2015,24:00,2,V,0.4,V,14,V,6,V,14,V
24-01-2015,24:00,2,V,0.4,V,8,V,7,V,6,V
25-01-2015,24:00,2,V,0.4,V,7,V,11,V,5,V
26-01-2015,24:00,3,V,0.5,V,24,V,21,V,25,V
27-01-2015,24:00,2,V,0.5,V,19,V,18,V,19,V
28-01-2015,24:00,2,V,0.4,V,12,V,12,V,12,V
29-01-2015,24:00,2,V,0.4,V,14,V,9,V,14,V
30-01-2015,24:00,2,V,0.4,V,7,V,3,V,6,V
31-01-2015,24:00,2,V,0.4,V,5,V,5,V,5,V
01-02-2015,24:00,2,V,0.4,V,7,V,9,V,6,V
02-02-2015,24:00,2,V,0.4,V,6,V,10,V,5,V
03-02-2015,24:00,2,V,0.4,V,10,V,7,V,9,V
04-02-2015,24:00,2,V,0.4,V,15,V,4,V,13,V
05-02-2015,24:00,2,V,0.4,V,19,V,8,V,17,V
06-02-2015,24:00,2,V,0.5,V,13,V,8,V,13,V
07-02-2015,24:00,3,V,0.4,V,15,V,6,V,15,V
08-02-2015,24:00,2,V,0.5,V,16,V,6,V,15,V
09-02-2015,24:00,3,V,0.5,V,21,V,10,V,22,V
10-02-2015,24:00,2,V,0.5,V,33,V,16,V,33,V
11-02-2015,24:00,2,V,0.4,V,16,V,7,V,15,V
12-02-2015,24:00,2,V,0.4,V,13,V,7,V,12,V
13-02-2015,24:00,2,V,0.4,V,10,V,8,V,9,V
14-02-2015,24:00,3,V,0.4,V,15,V,12,V,15,V
15-02-2015,24:00,2,V,0.4,V,16,V,9,V,15,V
16-02-2015,24:00,2,V,0.4,V,12,V,6,V,12,V
17-02-2015,24:00,2,V,0.4,V,10,V,9,V,7,V
18-02-2015,24:00,2,V,0.3,V,7,V,16,V,,N
19-02-2015,24:00,2,V,0.4,V,8,V,12,V,5,V
