Fecha,Vuelta Los P�jaros-Sta Cruz de TF O3 (�g/m�),Flag,Vuelta Los P�jaros-Sta Cruz de TF TMP (�C),Flag,Vuelta Los P�jaros-Sta Cruz de TF HR (%),Flag,Vuelta Los P�jaros-Sta Cruz de TF PRB (mb),Flag
Jan-2015,49,V,16,V,60,V,1002,V
Feb-2015,67,V,15.4,V,64,V,999,V
Mar-2015,71,V,16.4,V,59,V,997,V
Apr-2015,79,V,17,V,63,V,995,V
May-2015,80,V,20.3,V,57,V,995,V
Jun-2015,75,V,20.3,V,63,V,996,V
Jul-2015,55,V,24,V,56,V,995,V
Aug-2015,51,V,23.6,V,62,V,995,V
Sep-2015,52,V,23.3,V,67,V,995,V
Oct-2015,40,V,22,V,69,V,993,V
Nov-2015,41,V,20,V,64,V,999,V
Dec-2015,35,V,19,V,55,V,1000,V
Jan-2016,38,V,17.9,V,63,V,1000,V
Feb-2016,72,V,16.6,V,65,V,1001,V
Mar-2016,80,V,16.2,V,63,V,997,V
Apr-2016,78,V,17.4,V,64,V,994,V
May-2016,85,V,18.4,V,62,V,994,V
Jun-2016,54,V,21.4,V,60,V,996,V
Jul-2016,62,V,23.3,V,54,V,994,V
Aug-2016,56,V,,N,,N,,N
Sep-2016,58,V,22.9,V,59,V,996,V
Oct-2016,53,V,21.6,V,64,V,992,V
Nov-2016,54,V,18.9,V,68,V,994,V
Dec-2016,62,V,18,V,63,V,998,V
Jan-2017,63,V,16.7,V,61,V,997,V
Feb-2017,69,V,16.6,V,65,V,996,V
Mar-2017,72,V,17.6,V,57,V,996,V
Apr-2017,,N,,N,,N,,N
May-2017,72,V,20.1,V,62,V,993,V
Jun-2017,59,V,22.1,V,58,V,993,V
Jul-2017,61,V,22.9,V,58,V,994,V
Aug-2017,61,V,24.8,V,55,V,993,V
Sep-2017,68,V,22.8,V,66,V,995,V
Oct-2017,62,V,23.1,V,58,V,995,V
Nov-2017,68,V,20.4,V,70,V,993,V
Dec-2017,73,V,17.5,V,65,V,1001,V
