Fecha,Parque La Granja-Sta Cruz de TF TRS (µg/m³),Flag
Jan-2015,,N
Feb-2015,0,V
Mar-2015,0,V
Apr-2015,0,V
May-2015,0,V
Jun-2015,0,V
Jul-2015,0,V
Aug-2015,0,V
Sep-2015,0,V
Oct-2015,,N
Nov-2015,0,V
Dec-2015,0,V
Jan-2016,1,V
Feb-2016,1,V
Mar-2016,0,V
Apr-2016,0,V
May-2016,2,V
Jun-2016,0,V
Jul-2016,0,V
Aug-2016,0,V
Sep-2016,0,V
Oct-2016,2,V
Nov-2016,,N
Dec-2016,,N
Jan-2017,,N
Feb-2017,,N
Mar-2017,2,V
Apr-2017,,N
May-2017,1,V
Jun-2017,0,V
Jul-2017,0,V
Aug-2017,0,V
Sep-2017,,N
Oct-2017,0,V
Nov-2017,2,V
Dec-2017,3,V
