Fecha,Parque La Granja-Sta Cruz de TF XIL (µg/m³),Flag,Parque La Granja-Sta Cruz de TF TOL (µg/m³),Flag,Parque La Granja-Sta Cruz de TF TMP (ºC),Flag,Parque La Granja-Sta Cruz de TF HR (%),Flag,Parque La Granja-Sta Cruz de TF PRB (mb),Flag
Jan-2015,0.4,V,0.2,V,,N,,N,1013,V
Feb-2015,0.2,V,0.1,V,,N,,N,1009,V
Mar-2015,0.5,V,0.2,V,,N,,N,1008,V
Apr-2015,0.3,V,0.2,V,17.7,V,,N,1006,V
May-2015,0.5,V,0.2,V,20.8,V,,N,1005,V
Jun-2015,0.4,V,0.2,V,21.3,V,,N,1006,V
Jul-2015,0.5,V,0.3,V,24.8,V,,N,1004,V
Aug-2015,0.6,V,0.3,V,24.4,V,,N,1004,V
Sep-2015,0.6,V,0.3,V,24,V,,N,1004,V
Oct-2015,0.7,V,0.3,V,22.6,V,,N,1003,V
Nov-2015,0.7,V,0.3,V,20.5,V,,N,1009,V
Dec-2015,1.9,V,0.9,V,19.2,V,,N,1010,V
Jan-2016,0.9,V,0.4,V,18.1,V,,N,1010,V
Feb-2016,0.3,V,0.2,V,17.2,V,,N,1011,V
Mar-2016,0.3,V,0.2,V,16.9,V,63,V,1007,V
Apr-2016,0.3,V,0.2,V,18.3,V,64,V,1004,V
May-2016,0.2,V,0.1,V,19.4,V,61,V,1004,V
Jun-2016,0.5,V,0.3,V,22.2,V,59,V,1005,V
Jul-2016,0.2,V,0.1,V,24.3,V,53,V,1004,V
Aug-2016,0.7,V,0.3,V,25.1,V,57,V,1003,V
Sep-2016,0.4,V,0.2,V,23.6,V,60,V,1005,V
Oct-2016,,N,,N,22.3,V,65,V,1002,V
Nov-2016,,N,,N,19.5,V,69,V,1004,V
Dec-2016,,N,,N,18.7,V,63,V,1008,V
Jan-2017,,N,,N,17.4,V,61,V,1007,V
Feb-2017,,N,,N,17.3,V,64,V,1006,V
Mar-2017,0.5,V,0.2,V,18.1,V,58,V,1006,V
Apr-2017,,N,,N,,N,,N,,N
May-2017,0.2,V,0.1,V,21.1,V,60,V,1003,V
Jun-2017,0.2,V,0.2,V,23,V,57,V,1002,V
Jul-2017,0.5,V,0.3,V,23.8,V,58,V,1004,V
Aug-2017,0.4,V,0.2,V,25.3,V,56,V,1002,V
Sep-2017,,N,,N,23.7,V,63,V,1005,V
Oct-2017,0.2,V,0.1,V,23.3,V,58,V,1005,V
Nov-2017,0.1,V,0.1,V,20.8,V,66,V,1002,V
Dec-2017,0.1,V,0.1,V,18.1,V,62,V,1011,V
