Fecha,Parque La Granja-Sta Cruz de TF O3 (µg/m³),Flag,Parque La Granja-Sta Cruz de TF CO (mg/m³),Flag,Parque La Granja-Sta Cruz de TF BEN (µg/m³),Flag,Parque La Granja-Sta Cruz de TF VV (m/s),Flag,Parque La Granja-Sta Cruz de TF DD (Grd),Flag
Jan-2015,67,V,0.4,V,0.2,V,1.6,V,226,V
Feb-2015,73,V,0.4,V,0.2,V,1.6,V,177,V
Mar-2015,78,V,0.4,V,0.3,V,2,V,179,V
Apr-2015,64,V,0.4,V,0.3,V,1.9,V,180,V
May-2015,55,V,0.4,V,0.5,V,1.7,V,156,V
Jun-2015,56,V,0.4,V,0.3,V,2,V,178,V
Jul-2015,46,V,0.4,V,0.4,V,1.4,V,270,V
Aug-2015,62,V,0.4,V,0.3,V,1.7,V,180,V
Sep-2015,52,V,0.4,V,0.4,V,1.4,V,134,V
Oct-2015,45,V,0.4,V,0.4,V,1.6,V,183,V
Nov-2015,52,V,0.5,V,0.4,V,1.5,V,138,V
Dec-2015,26,V,0.5,V,0.6,V,2.1,V,202,V
Jan-2016,27,V,0.3,V,0.5,V,1.5,V,135,V
Feb-2016,59,V,0.4,V,0.3,V,1.8,V,203,V
Mar-2016,67,V,0.4,V,0.3,V,1.6,V,135,V
Apr-2016,55,V,0.4,V,0.2,V,2.4,V,226,V
May-2016,69,V,0.4,V,0.2,V,1.8,V,203,V
Jun-2016,52,V,0.3,V,0.3,V,1.8,V,181,V
Jul-2016,65,V,0.4,V,0.2,V,1.7,V,181,V
Aug-2016,38,V,0.5,V,0.4,V,1.9,V,178,V
Sep-2016,61,V,0.4,V,0.2,V,1.5,V,157,V
Oct-2016,58,V,0.4,V,,N,1.6,V,181,V
Nov-2016,52,V,0.3,V,,N,0.7,V,270,V
Dec-2016,54,V,0.5,V,,N,1.7,V,225,V
Jan-2017,58,V,0.4,V,,N,1.5,V,202,V
Feb-2017,49,V,0.3,V,,N,1.5,V,247,V
Mar-2017,68,V,0.3,V,0.3,V,2,V,201,V
Apr-2017,,N,,N,,N,1.4,V,159,V
May-2017,73,V,0.4,V,0.1,V,2.1,V,180,V
Jun-2017,58,V,0.4,V,0.2,V,1.7,V,181,V
Jul-2017,56,V,0.4,V,0.2,V,1.2,V,271,V
Aug-2017,56,V,0.4,V,0.1,V,1.5,V,180,V
Sep-2017,,N,,N,,N,1.4,V,136,V
Oct-2017,41,V,0.4,V,0.1,V,0.8,V,268,V
Nov-2017,61,V,0.4,V,0.1,V,1.4,V,133,V
Dec-2017,58,V,0.3,V,0.1,V,1.4,V,158,V
