Fecha,Vuelta Los Pájaros-Sta Cruz de TF XIL (µg/m³),Flag,Vuelta Los Pájaros-Sta Cruz de TF DD (Grd),Flag,Vuelta Los Pájaros-Sta Cruz de TF VV (m/s),Flag,Vuelta Los Pájaros-Sta Cruz de TF TOL (µg/m³),Flag,"Vuelta Los Pájaros-Sta Cruz de TF PM2,5 (µg/m³)",Flag
Jan-2015,2.5,V,,N,,N,0.5,V,16,V
Feb-2015,2,V,,N,,N,0.5,V,7,V
Mar-2015,1.6,V,205,V,2.4,V,0.4,V,17,V
Apr-2015,1.7,V,202,V,2.5,V,0.6,V,8,V
May-2015,2,V,202,V,3.4,V,0.5,V,12,V
Jun-2015,0.8,V,202,V,3.8,V,0.3,V,10,V
Jul-2015,1,V,202,V,4.5,V,0.4,V,12,V
Aug-2015,0.8,V,204,V,2.7,V,0.3,V,10,V
Sep-2015,1.2,V,202,V,2.1,V,0.3,V,8,V
Oct-2015,2.2,V,202,V,2.3,V,0.4,V,9,V
Nov-2015,2.8,V,180,V,1.3,V,0.4,V,12,V
Dec-2015,3.5,V,180,V,1.3,V,0.4,V,25,V
Jan-2016,2.8,V,180,V,1.4,V,0.4,V,9,V
Feb-2016,1.5,V,203,V,3,V,0.2,V,8,V
Mar-2016,1.3,V,224,V,1.8,V,0.2,V,8,V
Apr-2016,1.1,V,204,V,3.1,V,0.2,V,,N
May-2016,0.7,V,202,V,3.6,V,0.2,V,7,V
Jun-2016,1.1,V,203,V,3.7,V,0.3,V,8,V
Jul-2016,1,V,202,V,4.5,V,0.2,V,10,V
Aug-2016,1.5,V,202,V,4.1,V,0.2,V,16,V
Sep-2016,0.8,V,203,V,2.4,V,0.2,V,10,V
Oct-2016,2.1,V,202,V,2.2,V,0.2,V,10,V
Nov-2016,1.7,V,201,V,2.1,V,0.2,V,7,V
Dec-2016,1.8,V,182,V,1.5,V,0.1,V,14,V
Jan-2017,1.4,V,203,V,1.9,V,0.1,V,14,V
Feb-2017,1.3,V,203,V,2.7,V,0.1,V,11,V
Mar-2017,1.2,V,202,V,2.5,V,0.2,V,,N
Apr-2017,,N,202,V,2.5,V,,N,,N
May-2017,0.6,V,202,V,3.2,V,0.1,V,5,V
Jun-2017,0.8,V,204,V,3.8,V,0.2,V,9,V
Jul-2017,0.8,V,203,V,4,V,0.1,V,10,V
Aug-2017,1,V,202,V,3.3,V,0.2,V,13,V
Sep-2017,0.6,V,202,V,2.7,V,0.2,V,13,V
Oct-2017,1.3,V,181,V,1.4,V,0.3,V,17,V
Nov-2017,1.1,V,203,V,1.7,V,0.3,V,10,V
Dec-2017,0.7,V,225,V,1.8,V,0.3,V,11,V
